,Paper,Title,Supporting.Table,Column,Gene.Set.Size,Overlap,Odds,P.Value,Adj.P.Value
29,PMC10511411,Large T cell clones expressing immune checkpoints increase during multiple myeloma evolution and predict treatment resistance,41467_2023_41562_MOESM5_ESM.xlsx,Hoja1-gene,1449,189,2.82,1.01e-41,2.20e-37
30,PMC9849137,Uncovering the mode of action of engineered T cells in patient cancer organoids,41587_2022_1397_MOESM6_ESM.xlsx,Pseudotime_markers-Gene,998,153,3.30,1.71e-41,3.58e-37
31,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S4-Unnamed_2,1443,188,2.80,3.80e-41,7.72e-37
32,PMC8445447,Identification of immune correlates of fatal outcomes in critically ill COVID-19 patients,ppat.1009804.s017.xlsx,MAIT_Flu-Differentially_expressed_genes_in_MAIT_cells_for_ECMO_vs_non-ECMO_influenza_ICU_patients,1758,211,2.58,4.62e-41,9.09e-37
33,PMC9135966,Single Cell Transcriptome and Surface Epitope Analysis of Ankylosing Spondylitis Facilitates Disease Classification by Machine Learning,Table_5.xlsx,NK_SUBSETS_DEGs-gene,2210,242,2.35,5.80e-41,1.11e-36
34,PMC8181206,Single‐cell analyses reveal suppressive tumor microenvironment of human colorectal cancer,CTM2-11-e422-s005.xlsx,Sheet1-Table_S3_List_of_genes_that_are_differentially_expressed_in_imyeloid_cell_sub-clusters_related_to_Figure_4,2202,241,2.35,9.97e-41,1.85e-36
35,PMC8181206,Single‐cell analyses reveal suppressive tumor microenvironment of human colorectal cancer,CTM2-11-e422-s005.xlsx,Sheet1-Unnamed_7,2173,239,2.36,1.07e-40,1.93e-36
36,PMC7321885,Intratumoral CD4+ T Cells Mediate Anti-tumor Cytotoxicity in Human Bladder Cancer,mmc2.xlsx,CD4GZMK-names,966,149,3.32,1.13e-40,1.98e-36
37,PMC10165782,Identification of potential resistance mechanisms and therapeutic targets for the relapse of BCMA CAR-T therapy in relapsed/refractory multiple myeloma through single-cell sequencing,40164_2023_402_MOESM3_ESM.csv,Unnamed_0,2066,230,2.39,8.58e-40,1.47e-35
38,PMC10165782,Identification of potential resistance mechanisms and therapeutic targets for the relapse of BCMA CAR-T therapy in relapsed/refractory multiple myeloma through single-cell sequencing,40164_2023_402_MOESM3_ESM.csv,gene,2024,227,2.41,1.02e-39,1.69e-35
39,PMC7924267,A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2,media-19.xlsx,up_2-feature,1204,167,2.98,1.06e-39,1.72e-35
40,PMC8771561,Single-cell RNA landscape of the osteoimmunology microenvironment in periodontitis,thnov12p1074s3.xlsx,Supplementary_Table_2_10-Supplementary_Table_2_10_All_marker_genes_of_cell_types_shown_in_fig_S7A,1647,200,2.61,1.99e-39,3.15e-35
41,PMC9741629,Single-cell profiling of healthy human kidney reveals features of sex-based transcriptional programs and tissue-specific immunity,41467_2022_35297_MOESM16_ESM.xlsx,Supp_Fig_15j-Unnamed_0,1832,213,2.50,2.42e-39,3.75e-35
42,PMC8397717,The PEMDAC phase 2 study of pembrolizumab and entinostat in patients with metastatic uveal melanoma,41467_2021_25332_MOESM6_ESM.xlsx,Fig_S6e-Unnamed_8,2327,246,2.27,4.16e-39,6.28e-35
43,PMC10011423,Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences,42003_2023_4623_MOESM5_ESM.xlsx,Fetal_CD8_Activated_T_Cells-Gene,891,140,3.38,4.96e-39,7.32e-35
44,PMC5844691,The transcription factors Runx3 and ThPOK cross-regulate acquisition of cytotoxic function by human Th1 lymphocytes,elife-30496-supp1.xls,All_GeneLists-Unnamed_10,894,140,3.37,7.31e-39,1.05e-34
45,PMC9345398,"Screening of cell‐virus, cell‐cell, gene‐gene crosstalk among animal kingdom at single cell resolution",CTM2-12-e886-s007.xlsx,Mongolian_horse-PBMC-Gene,2490,256,2.21,7.66e-39,1.08e-34
46,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_5_ddac043.xlsx,T-cell-ensembl_id,1432,183,2.75,8.73e-39,1.21e-34
47,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_6_ddac043.xlsx,T-cell-ensembl_id,1420,182,2.75,9.90e-39,1.34e-34
48,PMC9203933,Single-nucleus chromatin accessibility profiling highlights regulatory mechanisms of coronary artery disease risk,NIHMS1794783-supplement-Supplementary_Data_1.xlsx,T_NK-Unnamed_4,920,142,3.32,1.04e-38,1.38e-34
49,PMC8771561,Single-cell RNA landscape of the osteoimmunology microenvironment in periodontitis,thnov12p1074s3.xlsx,Supplementary_Table_2_9-Supplementary_Table_2_9_All_marker_genes_of_cell_types_shown_in_Fig_6D,863,137,3.41,1.15e-38,1.49e-34
50,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_5_ddac043.xlsx,T-cell-gene,1448,183,2.72,4.05e-38,5.12e-34
51,PMC9888347,Th17.1 cell driven sarcoidosis-like inflammation after anti-BCMA CAR T cells in multiple myeloma,41375_2023_1824_MOESM3_ESM.xlsx,7-ENSEMBL_ID,1780,207,2.50,4.10e-38,5.12e-34
52,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_6_ddac043.xlsx,T-cell-gene,1435,182,2.73,4.20e-38,5.15e-34
53,PMC9722937,Single-cell sequencing shows cellular heterogeneity of cutaneous lesions in lupus erythematosus,41467_2022_35209_MOESM15_ESM.xlsx,dermis-Unnamed_7,1357,176,2.79,4.92e-38,5.92e-34
54,PMC7924267,A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2,media-19.xlsx,down_6-feature,2196,235,2.30,6.09e-38,7.19e-34
55,PMC9153155,Ileum tissue single-cell mRNA sequencing elucidates the cellular architecture of pathophysiological changes associated with weaning in piglets,12915_2022_1321_MOESM10_ESM.xlsx,Sheet1-Unnamed_2,1548,190,2.64,6.54e-38,7.59e-34
56,PMC9888347,Th17.1 cell driven sarcoidosis-like inflammation after anti-BCMA CAR T cells in multiple myeloma,41375_2023_1824_MOESM3_ESM.xlsx,7-gene,1792,207,2.48,1.12e-37,1.28e-33
57,PMC9001660,Single-cell characterization of leukemic and non-leukemic immune repertoires in CD8+ T-cell large granular lymphocytic leukemia,41467_2022_29173_MOESM5_ESM.xlsx,Fig_1c_cluster_DEGs-gene,1710,201,2.53,1.46e-37,1.64e-33
58,PMC10025454,The molecular consequences of androgen activity in the human breast,mmc7.xlsx,lymphoid-Supplementary_Table_S6_Genes_found_differentially_expressed_between_trans-male_and_cis-female_samples_for_each_cell_type_related_to_Figures_2-7,2059,225,2.35,1.62e-37,1.78e-33
59,PMC9258069,Integrated analysis reveals the dysfunction of signaling pathways in uveal melanoma,12885_2022_9822_MOESM6_ESM.xls,cluster0-metastaticVSprimary-gene,1812,208,2.47,1.80e-37,1.94e-33
60,PMC9174272,"Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure",41467_2022_30893_MOESM8_ESM.xlsx,NK-Gene_symbol,1951,217,2.39,3.55e-37,3.78e-33
61,PMC7924267,A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2,media-19.xlsx,up_3-feature,656,116,3.80,3.67e-37,3.84e-33
62,PMC9553985,Evolution and modulation of antigen-specific T cell responses in melanoma patients,41467_2022_33720_MOESM6_ESM.xlsx,DEG_clusters_Huuhtanen-Unnamed_6,1843,209,2.44,6.98e-37,7.20e-33
63,PMC10293012,Phenotypic diversity of T cells in human primary and metastatic brain tumors revealed by multiomic interrogation,43018_2023_566_MOESM2_ESM.xlsx,1B-Unnamed_7,1406,177,2.71,1.54e-36,1.56e-32
64,PMC9950534,Single-cell RNA sequencing identifies a population of human liver-type ILC1s,NIHMS1870503-supplement-2.xlsx,DEGs_cell_type_batch_1-Unnamed_0,2167,230,2.28,1.92e-36,1.92e-32
65,PMC10293012,Phenotypic diversity of T cells in human primary and metastatic brain tumors revealed by multiomic interrogation,43018_2023_566_MOESM2_ESM.xlsx,1B-Supplementary_Table_1B_CD8_cluster-specific_genes_related_to_Fig_1,1415,177,2.69,3.58e-36,3.53e-32
66,PMC9204588,CCL5-Secreting Virtual Memory CD8+ T Cells Inversely Associate With Viral Reservoir Size in HIV‐1−Infected Individuals on Antiretroviral Therapy,DataSheet_1.csv,gene,1339,171,2.74,5.30e-36,5.14e-32
67,PMC7646563,An atlas of immune cell exhaustion in HIV-infected individuals revealed by single-cell transcriptomics,TEMI_A_1826361_SM3404.xlsx,CD8_T-Unnamed_0,1267,165,2.80,1.05e-35,1.00e-31
68,PMC8692249,Single-Cell Transcriptome Analysis Reveals RGS1 as a New Marker and Promoting Factor for T-Cell Exhaustion in Multiple Cancers,DataSheet_2.xlsx,NSCLC_CD8-gene,1387,174,2.70,1.13e-35,1.07e-31
69,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S6-Unnamed_7,2083,222,2.29,2.88e-35,2.67e-31
70,PMC8042271,Disparate Interferon Signaling and Shared Aberrant Basaloid Cells in Single-Cell Profiling of Idiopathic Pulmonary Fibrosis and Systemic Sclerosis-Associated Interstitial Lung Disease,Table_1.xlsx,Cytotoxic_T_IPFvSSC-Unnamed_0,1125,153,2.92,3.72e-35,3.40e-31
71,PMC8789099,Single-cell immune profiling reveals functional diversity of T cells in tuberculous pleural effusion,JEM_20211777_TableS4.xlsx,subset_marker_list-Gene,1615,189,2.52,7.88e-35,7.11e-31
72,PMC10011423,Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences,42003_2023_4623_MOESM5_ESM.xlsx,Maternal_CD8_Activated_T_Cells-Gene,1082,149,2.96,8.19e-35,7.28e-31
73,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc3.xlsx,DORC_GWAS-Categorization_of_DORC_genes_based_on_GWAS_SNP-chromatin_accessibility_peak-overlap_related_to_Figure_5,1071,148,2.97,9.65e-35,8.21e-31
74,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc6.xlsx,FigR_Stim-FigR_GRN_testing_for_PBMC_resting_and_stimulation_data_related_to_Figure_5_and_Figures_S6,1071,148,2.97,9.65e-35,8.21e-31
75,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc4.xlsx,CD4-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,148,2.97,1.07e-34,8.21e-31
76,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc5.xlsx,NK-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,148,2.97,1.07e-34,8.21e-31
77,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc5.xlsx,CD8-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,148,2.97,1.07e-34,8.21e-31
78,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc4.xlsx,B-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,148,2.97,1.07e-34,8.21e-31
79,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc4.xlsx,NK-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,148,2.97,1.07e-34,8.21e-31
80,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc5.xlsx,CD4-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,148,2.97,1.07e-34,8.21e-31
81,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc5.xlsx,B-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,148,2.97,1.07e-34,8.21e-31
82,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc4.xlsx,CD8-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,148,2.97,1.07e-34,8.21e-31
83,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc5.xlsx,Mono-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,148,2.97,1.07e-34,8.21e-31
84,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc4.xlsx,Mono-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,148,2.97,1.07e-34,8.21e-31
85,PMC9849137,Uncovering the mode of action of engineered T cells in patient cancer organoids,41587_2022_1397_MOESM9_ESM.xlsx,10T_SEvsNE_DEG-Unnamed_0,1513,181,2.57,1.80e-34,1.36e-30
86,PMC9174272,"Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure",41467_2022_30893_MOESM8_ESM.xlsx,CD8T-Gene_symbol,1770,199,2.42,2.17e-34,1.62e-30
87,PMC7534589,Imbalance of Regulatory and Cytotoxic SARS-CoV-2-Reactive CD4+ T Cells in COVID-19,mmc5.xlsx,C_-_24_h_markers_per_cluster-Supplementary_Table_5C_Single-cell_cluster_enriched_genes_for_24_h_stimulation_condition,1933,210,2.33,2.54e-34,1.87e-30
88,PMC9169737,Cellular and transcriptional diversity over the course of human lactation,pnas.2121720119.sd02.xlsx,T_cells-Supplemental_Dataset_2,803,125,3.35,2.69e-34,1.96e-30
89,PMC10514084,Sézary syndrome originates from heavily mutated hematopoietic progenitors,BLOODA_ADV-2022-008562-mmc3.xlsx,PreExh-gene,1892,207,2.35,3.27e-34,2.36e-30
90,PMC8739441,Intratumor expanded T cell clones can be non-sentinel lymph node derived in breast cancer revealed by single-cell immune profiling,jitc-2021-003325supp009.xlsx,Table_S4-Table_S4_Differentially_expressed_genes_between_T_cell_clusters,1238,160,2.78,3.74e-34,2.67e-30
91,PMC9849137,Uncovering the mode of action of engineered T cells in patient cancer organoids,41587_2022_1397_MOESM9_ESM.xlsx,13T_SEvsNE_DEG-Unnamed_0,1764,198,2.41,4.25e-34,2.99e-30
92,PMC8591366,Exposure to Tobacco Smoking Induces a subset of Activated Tumor-resident Tregs in Non-Small Cell Lung Cancer,mmc3.xlsx,Sheet1-Gene_Symbol,1607,187,2.50,4.29e-34,2.99e-30
93,PMC8800483,Molecular mechanisms governing circulating immune cell heterogeneity across different species revealed by single‐cell sequencing,CTM2-12-e689-s010.xlsx,8f_Monkey-Unnamed_1,2480,245,2.12,5.02e-34,3.47e-30
94,PMC9722937,Single-cell sequencing shows cellular heterogeneity of cutaneous lesions in lupus erythematosus,41467_2022_35209_MOESM12_ESM.xlsx,dermis-Unnamed_7,1013,142,3.01,5.91e-34,4.04e-30
95,PMC8692249,Single-Cell Transcriptome Analysis Reveals RGS1 as a New Marker and Promoting Factor for T-Cell Exhaustion in Multiple Cancers,DataSheet_3.xlsx,NSCLC_Tex_DEG-Unnamed_0,905,133,3.16,7.11e-34,4.81e-30
96,PMC9678742,Expression and regulatory characteristics of peripheral blood immune cells in primary Sjögren’s syndrome patients using single-cell transcriptomic,mmc2.xlsx,NK_cells_Differ_Markers-GeneID,980,139,3.05,9.17e-34,6.14e-30
97,PMC10299999,Age-associated B cells predict impaired humoral immunity after COVID-19 vaccination in patients receiving immune checkpoint blockade,41467_2023_38810_MOESM5_ESM.xlsx,Supplementary_Data_File_2-Unnamed_1,2342,235,2.16,1.84e-33,1.21e-29
98,PMC8692249,Single-Cell Transcriptome Analysis Reveals RGS1 as a New Marker and Promoting Factor for T-Cell Exhaustion in Multiple Cancers,DataSheet_3.xlsx,CRC_Pre_DEG-Unnamed_0,974,138,3.05,1.84e-33,1.21e-29
99,PMC9678742,Expression and regulatory characteristics of peripheral blood immune cells in primary Sjögren’s syndrome patients using single-cell transcriptomic,mmc2.xlsx,NK_cells_Differ_Markers-GeneName,991,139,3.01,3.09e-33,2.01e-29
100,PMC8521678,Single-cell profiling reveals the importance of CXCL13/CXCR5 axis biology in lymphocyte-rich classic Hodgkin lymphoma,pnas.2105822118.sd01.xlsx,all_clusters-Gene,1754,195,2.39,5.90e-33,3.79e-29
101,PMC10011423,Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences,42003_2023_4623_MOESM5_ESM.xlsx,Maternal_Natural_Killer_Cells-Gene,639,108,3.63,9.35e-33,5.96e-29
102,PMC8042271,Disparate Interferon Signaling and Shared Aberrant Basaloid Cells in Single-Cell Profiling of Idiopathic Pulmonary Fibrosis and Systemic Sclerosis-Associated Interstitial Lung Disease,Table_1.xlsx,Natural_Killer_IPFvSSC-Unnamed_0,1116,148,2.85,1.05e-32,6.61e-29
103,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,LR_B-Unnamed_0,2275,229,2.16,1.10e-32,6.64e-29
104,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,MAST_B-Unnamed_0,2275,229,2.16,1.10e-32,6.64e-29
105,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,T_B-Unnamed_0,2275,229,2.16,1.10e-32,6.64e-29
106,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,ROC_B-Unnamed_0,2275,229,2.16,1.10e-32,6.64e-29
107,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,Wilcox_B-Marker_detection_results_in_Human_Cell_Atlas_Human_-PBMC_data_set_for_all_evaluated_methods,2275,229,2.16,1.10e-32,6.64e-29
108,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S8-Unnamed_5,1985,210,2.27,1.18e-32,7.05e-29
109,PMC10355164,A Th1-like CD4+ T-cell Cluster That Predicts Disease-free Survival in Early-stage Lung Cancer,crc-23-0167-s05.xlsx,Table_S2-Table_S2_,1386,168,2.61,1.68e-32,9.90e-29
110,PMC9722937,Single-cell sequencing shows cellular heterogeneity of cutaneous lesions in lupus erythematosus,41467_2022_35209_MOESM12_ESM.xlsx,epidermis-Unnamed_7,1470,174,2.54,1.89e-32,1.11e-28
111,PMC10544016,Single-Cell Characterization of Pulmonary Nodules Implicates Suppression of Immunosurveillance across Early Stages of Lung Adenocarcinoma,can-23-0128_supplementary_table_s4_suppst4.xlsx,Sheet1-primerid,1888,203,2.31,2.06e-32,1.20e-28
112,PMC9562361,Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease,41467_2022_33780_MOESM3_ESM.xlsx,Table_S51-Table_S51,1669,188,2.42,2.09e-32,1.20e-28
113,PMC10559315,Epstein-Barr virus evades restrictive host chromatin closure by subverting B cell activation and germinal center regulatory loci,NIHMS1928283-supplement-2.xls,Pred_Genes_Resting_not_Success-predicted_linked_genes,1801,197,2.35,2.32e-32,1.32e-28
114,PMC9174272,"Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure",41467_2022_30893_MOESM8_ESM.xlsx,CD4_Memory-Gene_symbol,2415,237,2.11,2.80e-32,1.58e-28
115,PMC9279430,Single cell sequencing identifies clonally expanded synovial CD4+ TPH cells expressing GPR56 in rheumatoid arthritis,41467_2022_31519_MOESM6_ESM.xlsx,Supplementary_Data_3-Unnamed_7,1880,202,2.31,3.42e-32,1.92e-28
116,PMC8323949,Single-cell analysis reveals the pan-cancer invasiveness-associated transition of adipose-derived stromal cells into COL11A1-expressing cancer-associated fibroblasts,pcbi.1009228.s007.xlsx,X2-Unnamed_0,471,91,4.15,3.63e-32,2.00e-28
117,PMC8323949,Single-cell analysis reveals the pan-cancer invasiveness-associated transition of adipose-derived stromal cells into COL11A1-expressing cancer-associated fibroblasts,pcbi.1009228.s007.xlsx,HNSCC_ALL_exceptLN-X2,471,91,4.15,3.63e-32,2.00e-28
118,PMC6642679,Epigenetic programming underpins B cell dysfunction in human SLE,NIHMS1529080-supplement-4.xlsx,Sheet1-Unnamed_1,1794,196,2.35,4.15e-32,2.26e-28
