,Paper,Title,Supporting.Table,Column,Gene.Set.Size,Overlap,Odds,P.Value,Adj.P.Value
26,PMC8233196,Functional and genomic adaptations of blood monocytes to pregravid obesity during pregnancy,mmc2.xlsx,Nonclassical_Mo-_cluster_II-Unnamed_0,1963,171,2.40,2.99e-29,7.19e-25
27,PMC8663782,Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2,jciinsight-6-152288-s099.xlsx,neut_-_COVID_vs_fluA-Unnamed_20,1780,161,2.49,3.31e-29,7.67e-25
28,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S6-Unnamed_1,2028,174,2.36,5.01e-29,9.63e-25
29,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc3.xlsx,DORC_GWAS-Categorization_of_DORC_genes_based_on_GWAS_SNP-chromatin_accessibility_peak-overlap_related_to_Figure_5,1071,119,3.06,5.58e-29,9.63e-25
30,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc6.xlsx,FigR_Stim-FigR_GRN_testing_for_PBMC_resting_and_stimulation_data_related_to_Figure_5_and_Figures_S6,1071,119,3.06,5.58e-29,9.63e-25
31,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc5.xlsx,CD8-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,119,3.06,6.08e-29,9.63e-25
32,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc4.xlsx,NK-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,119,3.06,6.08e-29,9.63e-25
33,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc5.xlsx,B-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,119,3.06,6.08e-29,9.63e-25
34,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc5.xlsx,CD4-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,119,3.06,6.08e-29,9.63e-25
35,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc5.xlsx,Mono-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,119,3.06,6.08e-29,9.63e-25
36,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc5.xlsx,NK-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,119,3.06,6.08e-29,9.63e-25
37,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc4.xlsx,B-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,119,3.06,6.08e-29,9.63e-25
38,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc4.xlsx,CD4-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,119,3.06,6.08e-29,9.63e-25
39,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc4.xlsx,CD8-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,119,3.06,6.08e-29,9.63e-25
40,PMC9534481,Functional inference of gene regulation using single-cell multi-omics,mmc4.xlsx,Mono-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition,1072,119,3.06,6.08e-29,9.63e-25
41,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S4-Unnamed_8,2016,173,2.36,7.53e-29,1.17e-24
42,PMC7439502,Single-cell RNA-seq reveals ectopic and aberrant lung-resident cell populations in idiopathic pulmonary fibrosis,aba1983_Data_S4.txt,gene,2189,182,2.29,8.01e-29,1.21e-24
43,PMC9275597,ScRNA-seq expression of IFI27 and APOC2 identifies four alveolar macrophage superclusters in healthy BALF,LSA-2022-01458_TableS5.xls,Table_S5_DEGs_of_monocyte_and_I-gene,2051,174,2.34,1.93e-28,2.86e-24
44,PMC8702862,Vitamin D Treatment Sequence Is Critical for Transcriptome Modulation of Immune Challenged Primary Human Cells,Table_2.xlsx,2055_targets-Ensembl_gene_id,1816,161,2.44,3.20e-28,4.62e-24
45,PMC8702862,Vitamin D Treatment Sequence Is Critical for Transcriptome Modulation of Immune Challenged Primary Human Cells,Table_2.xlsx,2055_targets-Gene,1819,161,2.44,3.86e-28,5.45e-24
46,PMC9275597,ScRNA-seq expression of IFI27 and APOC2 identifies four alveolar macrophage superclusters in healthy BALF,LSA-2022-01458_TableS5.xls,Table_S5_DEGs_of_monocyte_and_I-Unnamed_0,2109,176,2.30,6.03e-28,8.33e-24
47,PMC7921413,Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics,41467_2021_21650_MOESM5_ESM.xlsx,002_DE-CD34-_Blasts_Calprotectin-AZU1,2405,191,2.19,6.91e-28,9.35e-24
48,PMC9288051,Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia,13046_2022_2428_MOESM4_ESM.xlsx,Super_enhancers_in_AML2-CLOSEST_GENE,539,80,4.09,1.37e-27,1.81e-23
49,PMC4746609,The transcriptional regulator network of human inflammatory macrophages is defined by open chromatin,cr20161x9.xlsx,3C_MIL4_all_SE-Unnamed_15,465,74,4.38,1.71e-27,2.22e-23
50,PMC9996085,Single-cell RNA-seq analysis identifies distinct myeloid cells in a case with encephalitis temporally associated with COVID-19 vaccination,Table_4.xlsx,Sheet_1_-_Supplementary_Table_1-Unnamed_7,1864,162,2.39,1.94e-27,2.47e-23
51,PMC9271696,Revealing the Key MSCs Niches and Pathogenic Genes in Influencing CEP Homeostasis: A Conjoint Analysis of Single-Cell and WGCNA,Table_2.xlsx,Blood_cell-p_val,1148,121,2.90,2.28e-27,2.80e-23
52,PMC9271696,Revealing the Key MSCs Niches and Pathogenic Genes in Influencing CEP Homeostasis: A Conjoint Analysis of Single-Cell and WGCNA,Table_2.xlsx,Blood_cell-entrezID,1148,121,2.90,2.28e-27,2.80e-23
53,PMC10011423,Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences,42003_2023_4623_MOESM5_ESM.xlsx,Fetal_CD14_Monocytes-Gene,735,94,3.52,2.52e-27,3.03e-23
54,PMC9618568,Defining cellular complexity in human autosomal dominant polycystic kidney disease by multimodal single cell analysis,41467_2022_34255_MOESM8_ESM.xlsx,LEUK-gene,1205,124,2.83,4.17e-27,4.87e-23
55,PMC5927328,β-Glucan Reverses the Epigenetic State of LPS-Induced Immunological Tolerance,NIHMS77085-supplement-Table_S2.xlsx,Table_S2A_Genes_H3K27ac_enh-Unnamed_2,2320,185,2.19,4.19e-27,4.87e-23
56,PMC7857060,COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas,mmc5.xlsx,NeutrophilV_vs_V--Unnamed_7,1426,137,2.64,4.30e-27,4.90e-23
57,PMC3419980,Depletion of RUNX1/ETO in t(8;21) AML cells leads to genome-wide changes in chromatin structure and transcription factor binding,leu201249x3.xls,genes_list_all-All_genes_in_patients_A_B,1972,167,2.33,4.43e-27,4.96e-23
58,PMC10117657,Fibronectin leucine-rich transmembrane protein 2 drives monocyte differentiation into macrophages via the UNC5B-Akt/mTOR axis,Table_1.xlsx,Upregulation-gene_id,2156,176,2.25,8.27e-27,9.11e-23
59,PMC6787028,N6-methyladenosine mRNA marking promotes selective translation of regulons required for human erythropoiesis,41467_2019_12518_MOESM5_ESM.xlsx,CD14-gencode_v19_KNOWN,850,101,3.27,8.62e-27,9.33e-23
60,PMC7405822,Severe COVID-19 Is Marked by a Dysregulated Myeloid Cell Compartment,mmc4.xlsx,FigS3A-Marker_genes_for_Cohort_1_monocyte_clusters,1635,148,2.49,1.10e-26,1.15e-22
61,PMC7405822,Severe COVID-19 Is Marked by a Dysregulated Myeloid Cell Compartment,mmc4.xlsx,FigS3A-Unnamed_7,1635,148,2.49,1.10e-26,1.15e-22
62,PMC10011423,Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences,42003_2023_4623_MOESM5_ESM.xlsx,Maternal_CD14_Monocytes-Gene,736,93,3.48,1.23e-26,1.26e-22
63,PMC9288051,Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia,13046_2022_2428_MOESM4_ESM.xlsx,Super_enhancers_in_AML6-CLOSEST_GENE,598,83,3.82,1.45e-26,1.47e-22
64,PMC10172319,Skin basal cell carcinomas assemble a pro-tumorigenic spatially organized and self-propagating Trem2+ myeloid niche,41467_2023_37993_MOESM4_ESM.xlsx,HuBCC5_CD45_HLADR_markers-gene,1472,138,2.58,3.01e-26,3.01e-22
65,PMC7704697,A molecular cell atlas of the human lung from single cell RNA sequencing,NIHMS1624031-supplement-1624031_Supp_Tab4.xlsx,Cluster_58_SS2-Intermediate_Monocyte,2319,183,2.17,3.18e-26,3.13e-22
66,PMC5430950,Transcriptional landscape of epithelial and immune cell populations revealed through FACS-seq of healthy human skin,41598_2017_1468_MOESM3_ESM.xls,DC_vs_CD8_DE_Genes-Supplementary_Table_S2_Differentially_Expressed_Genes,2342,184,2.16,3.73e-26,3.62e-22
67,PMC7781436,Conserved Epigenetic Regulatory Logic Infers Genes Governing Cell Identity,NIHMS1653552-supplement-Table_S5.xlsx,Lung-SE,867,101,3.21,4.17e-26,3.98e-22
68,PMC8298514,Oncogenic enhancers drive esophageal squamous cell carcinogenesis and metastasis,41467_2021_24813_MOESM7_ESM.xlsx,SE_in_EC-Gene,595,82,3.79,4.89e-26,4.60e-22
69,PMC9169737,Cellular and transcriptional diversity over the course of human lactation,pnas.2121720119.sd02.xlsx,GPNMB_Macrophages-Supplemental_Dataset_2,1191,121,2.80,6.34e-26,5.88e-22
70,PMC8663782,Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2,jciinsight-6-152288-s099.xlsx,neut_-_fluA_vs_healthy-Unnamed_20,1756,153,2.40,6.80e-26,6.22e-22
71,PMC10545891,Unravelling the role of immune cells and FN1 in the recurrence and therapeutic process of skull base chordoma,CTM2-13-e1429-s002.xls,Table_S5-Unnamed_0,1940,162,2.31,7.74e-26,6.98e-22
72,PMC8663782,Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2,jciinsight-6-152288-s099.xlsx,neut_-_COVID_vs_healthy-Unnamed_20,1347,130,2.66,8.10e-26,7.20e-22
73,PMC8363470,A monocyte/dendritic cell molecular signature of SARS-CoV-2-related multisystem inflammatory syndrome in children with severe myocarditis,mmc3.xlsx,FigS4-Acute-Inf_CoV-2-_vs_CTL-Monocytes_cDCs_pDCs,1282,126,2.71,1.04e-25,9.14e-22
74,PMC10545891,Unravelling the role of immune cells and FN1 in the recurrence and therapeutic process of skull base chordoma,CTM2-13-e1429-s002.xls,Table_S5-Unnamed_7,1895,160,2.32,1.08e-25,9.39e-22
75,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S8-Unnamed_7,2011,166,2.27,1.18e-25,1.01e-21
76,PMC10559536,Mapping the epigenomic landscape of human monocytes following innate immune activation reveals context-specific mechanisms driving endotoxin tolerance,12864_2023_9663_MOESM3_ESM.xlsx,lps24vslps2-expressed_nGene,2069,169,2.25,1.19e-25,1.01e-21
77,PMC9288051,Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia,13046_2022_2428_MOESM4_ESM.xlsx,Super_enhancers_in_AML10-OVERLAP_GENES,869,100,3.17,1.98e-25,1.65e-21
78,PMC8233196,Functional and genomic adaptations of blood monocytes to pregravid obesity during pregnancy,mmc2.xlsx,Nonclassical_Mo-cluster_IV-Unnamed_0,2237,177,2.18,2.18e-25,1.79e-21
79,PMC9174272,"Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure",41467_2022_30893_MOESM14_ESM.xlsx,RPS26-Genes,2146,172,2.21,3.23e-25,2.62e-21
80,PMC9439955,Histone acetylome-wide associations in immune cells from individuals with active Mycobacterium tuberculosis infection,41564_2021_1049_MOESM4_ESM.xlsx,SupTable34-Gene_Name,628,83,3.64,4.22e-25,3.38e-21
81,PMC8663782,Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2,jciinsight-6-152288-s099.xlsx,mac_-_COVID_vs_healthy-Supplemental_File_3_Cell_Subtypes_All_Donors,1378,130,2.60,6.78e-25,5.37e-21
82,PMC7831653,Neurological Manifestations of COVID-19 Feature T Cell Exhaustion and Dedifferentiated Monocytes in Cerebrospinal Fluid,mmc3.xlsx,DE_mono2_vs_mono1_and_mono3-gene,2422,185,2.10,7.59e-25,5.94e-21
83,PMC8527883,Similarities and Differences in the Acute-Phase Response to SARS-CoV-2 in Rhesus Macaques and African Green Monkeys,Table_1.xlsx,RH-lightslateblue,1907,158,2.28,1.82e-24,1.40e-20
84,PMC9314400,Single-cell transcriptome atlas of the human corpus cavernosum,41467_2022_31950_MOESM7_ESM.xlsx,MAC_DMED_DEGs-Unnamed_0,1153,116,2.77,1.87e-24,1.43e-20
85,PMC9314400,Single-cell transcriptome atlas of the human corpus cavernosum,41467_2022_31950_MOESM8_ESM.xlsx,MAC_DMED_DEGs-Unnamed_0,1154,116,2.77,2.01e-24,1.52e-20
86,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_5_ddac043.xlsx,dendritic-ensembl_id,1206,119,2.72,2.25e-24,1.68e-20
87,PMC5739635,Super enhancer associated RAI14 is a new potential biomarker in lung adenocarcinoma,oncotarget-08-105251-s002.xlsx,Sheet1-Unnamed_2,1594,141,2.43,2.36e-24,1.74e-20
88,PMC10559315,Epstein-Barr virus evades restrictive host chromatin closure by subverting B cell activation and germinal center regulatory loci,NIHMS1928283-supplement-2.xls,Pred_Genes_Resting_not_Success-predicted_linked_genes,1801,152,2.32,2.82e-24,2.06e-20
89,PMC8787197,Replication of Dengue Virus in K562-Megakaryocytes Induces Suppression in the Accumulation of Reactive Oxygen Species,Table_1.XLSX,Upregulated-Gene_name,2156,170,2.17,4.22e-24,3.05e-20
90,PMC10231997,Anaplastic transformation in thyroid cancer revealed by single-cell transcriptomics,jci-133-169653-s102.xlsx,Table_S6-Table_S6_-_List_of_signature_genes_of_myeloid_cell_clusters_related_to_Figure_6,477,70,4.04,6.72e-24,4.79e-20
91,PMC10243127,Nasal administration of anti-CD3 mAb (Foralumab) downregulates NKG7 and increases TGFB1 and GIMAP7 expression in T cells in subjects with COVID-19,pnas.2220272120.sd01.xlsx,Sheet1-Unnamed_6,1951,159,2.24,7.05e-24,4.94e-20
92,PMC8298514,Oncogenic enhancers drive esophageal squamous cell carcinogenesis and metastasis,41467_2021_24813_MOESM13_ESM.xlsx,EC-Nor-SYMBOL,926,101,3.00,7.07e-24,4.94e-20
93,PMC9940314,Single-cell RNA sequencing reveals the immune microenvironment and signaling networks in cystitis glandularis,Table_9.xlsx,Monocyte-gene,898,99,3.03,9.46e-24,6.54e-20
94,PMC10274680,Early Alzheimer’s disease pathology in human cortex is associated with a transient phase of distinct cell states,media-3.xlsx,Micro-Unnamed_1,1715,146,2.34,1.29e-23,8.83e-20
95,PMC3419980,Depletion of RUNX1/ETO in t(8;21) AML cells leads to genome-wide changes in chromatin structure and transcription factor binding,leu201249x3.xls,genes_lists_unique_and_common-Common_genes_in_patients_A_B_and_Kasumi-1,1214,118,2.68,1.33e-23,8.98e-20
96,PMC8155708,A Cancer Cell Cluster Marked by LincRNA MEG3 Leads Pancreatic Ductal Adenocarcinoma Metastasis,Table_1.xlsx,Cluster_2-Genes,2442,183,2.06,1.42e-23,9.51e-20
97,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_5_ddac043.xlsx,dendritic-gene,1219,118,2.66,1.88e-23,1.25e-19
98,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_6_ddac043.xlsx,dendritic-ensembl_id,1240,119,2.64,2.45e-23,1.61e-19
99,PMC7468443,Changes in H3K27ac at Gene Regulatory Regions in Porcine Alveolar Macrophages Following LPS or PolyIC Exposure,Data_Sheet_8.xlsx,27AC_POL2H_vs_C2H-Unnamed_10,1840,152,2.27,2.50e-23,1.62e-19
100,PMC9381754,Single-cell RNA sequencing reveals distinct immunology profiles in human keloid,Table_2.xlsx,Cell_Type-MPs-Gene,1862,153,2.26,2.93e-23,1.88e-19
101,PMC7574992,The differential immune responses to COVID-19 in peripheral and lung revealed by single-cell RNA sequencing,41421_2020_225_MOESM2_ESM.xlsx,Supplementary_Table_S3-gene,2255,173,2.11,3.02e-23,1.93e-19
102,PMC8298514,Oncogenic enhancers drive esophageal squamous cell carcinogenesis and metastasis,41467_2021_24813_MOESM7_ESM.xlsx,SE_in_LNC-Gene,684,84,3.38,3.13e-23,1.97e-19
103,PMC7926219,Long non‐coding RNA TINCR suppresses metastatic melanoma dissemination by preventing ATF4 translation,EMBR-22-e50852-s008.xlsx,Dataset_EV6-Dataset_EV6_Significantly_enriched_mRNAs_in_TINCR_RIA-seq_Related_to_Figure_6_and_Appendix_Figures_S3_S4_S5,2038,162,2.19,3.21e-23,2.01e-19
104,PMC9992450,Platelet-instructed SPP1+ macrophages drive myofibroblast activation in fibrosis in a CXCL4-dependent manner,mmc6.xlsx,MPC_MarkerGenes_CKD_Kuppe-gene,1903,155,2.24,3.37e-23,2.08e-19
105,PMC7371367,Monocyte-derived APCs are central to the response of PD1 checkpoint blockade and provide a therapeutic target for combination therapy,jitc-2020-000588supp004.xlsx,DGE_Monos_Responder_Non_Respond-Unnamed_0,2461,183,2.05,3.47e-23,2.13e-19
106,PMC9381754,Single-cell RNA sequencing reveals distinct immunology profiles in human keloid,Table_2.xlsx,Cell_Type-LangerhansCells-Gene,2258,173,2.11,3.50e-23,2.13e-19
107,PMC9715630,Macrophages regulate vascular smooth muscle cell function during atherosclerosis progression through IL-1β/STAT3 signaling,42003_2022_4255_MOESM4_ESM.xlsx,Supplementary_Table_7-Supplementary_Table_7_Marker_genes_of_3_myeloid_sub-clusters,1574,137,2.40,5.83e-23,3.49e-19
108,PMC7707107,Single-Cell Profiling of Ebola Virus Disease In Vivo Reveals Viral and Host Dynamics,mmc4.xlsx,Published_Differentiation_Sets-SaeedEtAl2014_Monocyte_Associated,1167,114,2.69,5.85e-23,3.49e-19
109,PMC4636073,A multi-omic analysis of human naïve CD4+ T cells,12918_2015_225_MOESM21_ESM.xlsx,S_T_10-TCGA_Enriched_Sites-Unnamed_5,2480,183,2.03,8.39e-23,4.95e-19
110,PMC8938266,Stem cell architecture drives myelodysplastic syndrome progression and predicts response to venetoclax-based therapy,41591_2022_1696_MOESM7_ESM.xlsx,Fig_4e-Unnamed_6,1619,139,2.36,9.38e-23,5.49e-19
111,PMC10274680,Early Alzheimer’s disease pathology in human cortex is associated with a transient phase of distinct cell states,media-3.xlsx,Micro-GPNMB-LPL_and_CX3CR1_cell_types_are_parsed_into_3_and_5_microglia_states_respectively,1714,144,2.31,1.03e-22,5.97e-19
112,PMC10559315,Epstein-Barr virus evades restrictive host chromatin closure by subverting B cell activation and germinal center regulatory loci,NIHMS1928283-supplement-2.xls,Pred_Genes_Resting_not_Arrest-predicted_linked_genes,1838,150,2.25,1.79e-22,1.03e-18
113,PMC9307320,Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration,si_table_6_ddac043.xlsx,dendritic-gene,1253,118,2.59,1.91e-22,1.09e-18
114,PMC10060809,Identification of new co-diagnostic genes for sepsis and metabolic syndrome using single-cell data analysis and machine learning algorithms,DataSheet7.CSV,Unnamed_0,1576,136,2.38,1.94e-22,1.10e-18
115,PMC8233196,Functional and genomic adaptations of blood monocytes to pregravid obesity during pregnancy,mmc2.xlsx,Classical_Mo_-_cluster_I-Unnamed_0,2114,164,2.14,2.05e-22,1.15e-18
116,PMC8830420,Pharmacological inhibition of LSD1 triggers myeloid differentiation by targeting GSE1 oncogenic functions in AML,41388_2021_2123_MOESM7_ESM.xlsx,Spreadsheet_2-Table_S6_Genes_negative_correlated_with_GSE1_expression_levels_in_TCGA_dataset_FDR_0_05,2080,162,2.14,2.72e-22,1.51e-18
117,PMC9296597,Single-cell multiomics analysis reveals regulatory programs in clear cell renal cell carcinoma,41421_2022_415_MOESM4_ESM.xlsx,Macrophage-gene,648,80,3.40,2.76e-22,1.52e-18
118,PMC9288051,Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia,13046_2022_2428_MOESM6_ESM.xlsx,Super_enhancers_in_B-ALL5-CLOSEST_GENE,577,75,3.58,2.84e-22,1.55e-18
119,PMC8266867,Discovery of potential imaging and therapeutic targets for severe inflammation in COVID-19 patients,41598_2021_93743_MOESM2_ESM.xlsx,Sheet1-Supplementary_Table_S1_Markers_of_macrophage_subtypes_associated_with_COVID-19,1676,141,2.32,2.89e-22,1.57e-18
120,PMC7382244,A frameshift variant in specificity protein 1 triggers superactivation of Sp1-mediated transcription in familial bone marrow failure,pnas.2002857117.sd01.xlsx,Upregulated_1071-Gene_ID,1023,104,2.80,3.21e-22,1.72e-18
