"","Cell","Paper","Title","Supporting.Table","Column","Gene.Set.Size","Overlap","Odds","P.Value","Adj.P.Value","Id","duplicate_count"
"17","CD8 TEM","PMC10565639","Single‐cell profiling of muscle‐infiltrating T cells in idiopathic inflammatory myopathies","EMMM-15-e17240-s009.xlsx","Data_Set_EV5-Data_Set_EV5_Differentially_expressed_genes_in_memory_T_cells_from_healthy_control_PBMC_treated_with_collagenase_versus_control",1743,222,2.74,7.39e-48,3.69e-43,"EMMM-15-e17240-s009 $ Data_Set_EV5-Data_Set_EV5_Differentially_expressed_genes_in_memory_T_cells_from_healthy_control_PBMC_treated_with_collagenase_versus_control",5
"18","CD8 TEM","PMC9554086","A novel unconventional T cell population enriched in Crohn’s disease","gutjnl-2021-325373supp004.xlsx","D_all_marker_genes-Unnamed_1",1610,211,2.82,3.59e-47,1.67e-42,"gutjnl-2021-325373supp004 $ D_all_marker_genes-Unnamed_1",4
"19","CD8 TEM","PMC9950534","Single-cell RNA sequencing identifies a population of human liver-type ILC1s","NIHMS1870503-supplement-2.xlsx","DEGs_cluster_batch_1-Unnamed_0",1794,224,2.68,7.96e-47,3.45e-42,"NIHMS1870503-supplement-2 $ DEGs_cluster_batch_1-Unnamed_0",6
"20","CD8 TEM","PMC7921413","Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics","41467_2021_21650_MOESM5_ESM.xlsx","002_DE-NK_and_T_cells",1545,204,2.84,6.08e-46,2.47e-41,"41467_2021_21650_MOESM5_ESM $ 002_DE-NK_and_T_cells",4
"21","CD8 TEM","PMC7831653","Neurological Manifestations of COVID-19 Feature T Cell Exhaustion and Dedifferentiated Monocytes in Cerebrospinal Fluid","mmc5.xlsx","Marker_genes_T_subclusters-gene",2381,263,2.37,6.79e-46,2.55e-41,"mmc5 $ Marker_genes_T_subclusters-gene",5
"22","CD8 TEM","PMC9888347","Th17.1 cell driven sarcoidosis-like inflammation after anti-BCMA CAR T cells in multiple myeloma","41375_2023_1824_MOESM3_ESM.xlsx","8-ENSEMBL_ID",1901,230,2.6,7.07e-46,2.55e-41,"41375_2023_1824_MOESM3_ESM $ 8-ENSEMBL_ID",4
"23","CD4 TCM","PMC10361538","Immunologic Characterization and T cell Receptor Repertoires of Expanded Tumor-infiltrating Lymphocytes in Patients with Renal Cell Carcinoma","crc-22-0514-s05.xlsx","supp_table_s5-Unnamed_7",2449,307,2.19,1.9e-46,3.08e-41,"crc-22-0514-s05 $ supp_table_s5-Unnamed_7",6
"24","CD8 TEM","PMC7924267","A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2","media-9.xlsx","CD8_T_cell_up-feature",1607,208,2.78,1.49e-45,5.09e-41,"media-9 $ CD8_T_cell_up-feature",4
"25","CD8 TEM","PMC10259667","Single‐cell atlas reveals a distinct immune profile fostered by T cell‐B cell crosstalk in triple negative breast cancer","CAC2-43-661-s001.xlsx","S11-Supplementary_Table_S11_Differentially_expressed_genes_of_Treg_cells_exhausted_CD8_T_cells_and_cytotoxic_CD8_T_cells_in_TNBC_compared_to_their_counterparts",1967,234,2.56,1.65e-45,5.35e-41,"CAC2-43-661-s001 $ S11-Supplementary_Table_S11_Differentially_expressed_genes_of_Treg_cells_exhausted_CD8_T_cells_and_cytotoxic_CD8_T_cells_in_TNBC_compared_to_their_counterparts",5
"26","CD4 TCM","PMC9942876","Single-cell and spatial transcriptomics reveal aberrant lymphoid developmental programs driving granuloma formation","mmc4.xlsx","GA_vs_homeostatic_Th_cells-Unnamed_1",2011,271,2.36,4.67e-46,6.06e-41,"mmc4 $ GA_vs_homeostatic_Th_cells-Unnamed_1",5
"27","CD8 TEM","PMC9174272","Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure","41467_2022_30893_MOESM8_ESM.xlsx","CD8_Memory-Gene_symbol",2113,244,2.48,1.99e-45,6.16e-41,"41467_2022_30893_MOESM8_ESM $ CD8_Memory-Gene_symbol",4
"28","CD8 TEM","PMC9888347","Th17.1 cell driven sarcoidosis-like inflammation after anti-BCMA CAR T cells in multiple myeloma","41375_2023_1824_MOESM3_ESM.xlsx","8-gene",1915,230,2.58,2.5e-45,7.38e-41,"41375_2023_1824_MOESM3_ESM $ 8-gene",4
"29","CD8 TEM","PMC8800370","CD19-CAR T cells undergo exhaustion DNA methylation programming in patients with acute lymphoblastic leukemia","NIHMS1769771-supplement-Supplemental_Table_1.xlsx","Week3_demethylated_Kmeans-Unnamed_19",2221,250,2.42,1.05e-44,2.97e-40,"NIHMS1769771-supplement-Supplemental_Table_1 $ Week3_demethylated_Kmeans-Unnamed_19",2
"30","CD14 Mono","PMC4746609","The transcriptional regulator network of human inflammatory macrophages is defined by open chromatin","cr20161x7.xlsx","1C_comEs-Unnamed_13",2078,207,2.74,2.63e-45,1.71e-39,"cr20161x7 $ 1C_comEs-Unnamed_13",5
"31","CD8 TEM","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S4-Unnamed_9",1659,209,2.71,6.4e-44,1.73e-39,"Data_Sheet_2 $ Table_S4-Unnamed_9",4
"32","CD4 TCM","PMC7831653","Neurological Manifestations of COVID-19 Feature T Cell Exhaustion and Dedifferentiated Monocytes in Cerebrospinal Fluid","mmc5.xlsx","Marker_genes_T_subclusters-gene",2381,297,2.18,3.31e-44,3.59e-39,"mmc5 $ Marker_genes_T_subclusters-gene",5
"33","CD4 TCM","PMC7773550","CDK8 Fine-Tunes IL-6 Transcriptional Activities by Limiting STAT3 Resident Time at the Gene Loci","mmc4.xlsx","B-Unnamed_3",1462,220,2.63,4.43e-44,4.11e-39,"mmc4 $ B-Unnamed_3",4
"34","CD8 TEM","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S4-Unnamed_7",2015,233,2.49,3.62e-43,9.41e-39,"Data_Sheet_2 $ Table_S4-Unnamed_7",4
"35","CD8 TEM","PMC9763233","Single-cell RNA sequencing reveals intrahepatic and peripheral immune characteristics related to disease phases in HBV-infected patients","gutjnl-2021-325915supp004.xlsx","gdT-gene",1075,162,3.24,4.25e-43,1.06e-38,"gutjnl-2021-325915supp004 $ gdT-gene",3
"36","CD8 TEM","PMC9562361","Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease","41467_2022_33780_MOESM3_ESM.xlsx","Table_S43-Table_S43",1967,229,2.5,8.21e-43,1.97e-38,"41467_2022_33780_MOESM3_ESM $ Table_S43-Table_S43",5
"37","CD8 TEM","PMC9174272","Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure","41467_2022_30893_MOESM8_ESM.xlsx","NKdim-Gene_symbol",2306,252,2.35,8.57e-43,1.99e-38,"41467_2022_30893_MOESM8_ESM $ NKdim-Gene_symbol",4
"38","CD8 TEM","PMC8771561","Single-cell RNA landscape of the osteoimmunology microenvironment in periodontitis","thnov12p1074s3.xlsx","Supplementary_Table_2_7-Supplementary_Table_2_7_All_marker_genes_of_cell_types_shown_in_Fig_6B",1896,222,2.52,1e-41,2.2e-37,"thnov12p1074s3 $ Supplementary_Table_2_7-Supplementary_Table_2_7_All_marker_genes_of_cell_types_shown_in_Fig_6B",6
"39","CD8 TEM","PMC10511411","Large T cell clones expressing immune checkpoints increase during multiple myeloma evolution and predict treatment resistance","41467_2023_41562_MOESM5_ESM.xlsx","Hoja1-gene",1449,189,2.82,1.01e-41,2.2e-37,"41467_2023_41562_MOESM5_ESM $ Hoja1-gene",5
"40","CD8 TEM","PMC9849137","Uncovering the mode of action of engineered T cells in patient cancer organoids","41587_2022_1397_MOESM6_ESM.xlsx","Pseudotime_markers-Gene",998,153,3.3,1.71e-41,3.58e-37,"41587_2022_1397_MOESM6_ESM $ Pseudotime_markers-Gene",3
"41","CD4 TCM","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S8-Unnamed_13",1951,258,2.32,5.02e-42,4.08e-37,"Data_Sheet_2 $ Table_S8-Unnamed_13",3
"42","CD8 TEM","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S4-Unnamed_2",1443,188,2.8,3.8e-41,7.72e-37,"Data_Sheet_2 $ Table_S4-Unnamed_2",4
"43","CD8 TEM","PMC8445447","Identification of immune correlates of fatal outcomes in critically ill COVID-19 patients","ppat.1009804.s017.xlsx","MAIT_Flu-Differentially_expressed_genes_in_MAIT_cells_for_ECMO_vs_non-ECMO_influenza_ICU_patients",1758,211,2.58,4.62e-41,9.09e-37,"ppat.1009804.s017 $ MAIT_Flu-Differentially_expressed_genes_in_MAIT_cells_for_ECMO_vs_non-ECMO_influenza_ICU_patients",5
"44","CD8 TEM","PMC9135966","Single Cell Transcriptome and Surface Epitope Analysis of Ankylosing Spondylitis Facilitates Disease Classification by Machine Learning","Table_5.xlsx","NK_SUBSETS_DEGs-gene",2210,242,2.35,5.8e-41,1.11e-36,"Table_5 $ NK_SUBSETS_DEGs-gene",4
"45","CD14 Mono","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S4-Unnamed_5",1772,184,2.86,3.97e-42,1.29e-36,"Data_Sheet_2 $ Table_S4-Unnamed_5",2
"46","CD8 TEM","PMC8181206","Single‐cell analyses reveal suppressive tumor microenvironment of human colorectal cancer","CTM2-11-e422-s005.xlsx","Sheet1-Table_S3_List_of_genes_that_are_differentially_expressed_in_imyeloid_cell_sub-clusters_related_to_Figure_4",2202,241,2.35,9.97e-41,1.85e-36,"CTM2-11-e422-s005 $ Sheet1-Table_S3_List_of_genes_that_are_differentially_expressed_in_imyeloid_cell_sub-clusters_related_to_Figure_4",5
"47","CD8 TEM","PMC8181206","Single‐cell analyses reveal suppressive tumor microenvironment of human colorectal cancer","CTM2-11-e422-s005.xlsx","Sheet1-Unnamed_7",2173,239,2.36,1.07e-40,1.93e-36,"CTM2-11-e422-s005 $ Sheet1-Unnamed_7",5
"48","CD8 TEM","PMC7321885","Intratumoral CD4+ T Cells Mediate Anti-tumor Cytotoxicity in Human Bladder Cancer","mmc2.xlsx","CD4GZMK-names",966,149,3.32,1.13e-40,1.98e-36,"mmc2 $ CD4GZMK-names",3
"49","CD4 TCM","PMC10266353","HIV-1 activates oxidative phosphorylation in infected CD4 T cells in a human tonsil explant model","Table_7.csv","Unnamed_0",2396,291,2.13,7.45e-41,5.38e-36,"Table_7.csv $ Unnamed_0",5
"50","CD4 TCM","PMC8445447","Identification of immune correlates of fatal outcomes in critically ill COVID-19 patients","ppat.1009804.s017.xlsx","MAIT_Flu-Differentially_expressed_genes_in_MAIT_cells_for_ECMO_vs_non-ECMO_influenza_ICU_patients",1758,239,2.38,1.46e-40,9.5e-36,"ppat.1009804.s017 $ MAIT_Flu-Differentially_expressed_genes_in_MAIT_cells_for_ECMO_vs_non-ECMO_influenza_ICU_patients",5
"51","CD4 TCM","PMC9279430","Single cell sequencing identifies clonally expanded synovial CD4+ TPH cells expressing GPR56 in rheumatoid arthritis","41467_2022_31519_MOESM6_ESM.xlsx","Supplementary_Data_3-Unnamed_7",1880,249,2.32,1.77e-40,1.05e-35,"41467_2022_31519_MOESM6_ESM $ Supplementary_Data_3-Unnamed_7",6
"52","CD4 TCM","PMC10259667","Single‐cell atlas reveals a distinct immune profile fostered by T cell‐B cell crosstalk in triple negative breast cancer","CAC2-43-661-s001.xlsx","S11-Supplementary_Table_S11_Differentially_expressed_genes_of_Treg_cells_exhausted_CD8_T_cells_and_cytotoxic_CD8_T_cells_in_TNBC_compared_to_their_counterparts",1967,256,2.28,2.07e-40,1.12e-35,"CAC2-43-661-s001 $ S11-Supplementary_Table_S11_Differentially_expressed_genes_of_Treg_cells_exhausted_CD8_T_cells_and_cytotoxic_CD8_T_cells_in_TNBC_compared_to_their_counterparts",5
"53","CD8 TEM","PMC10165782","Identification of potential resistance mechanisms and therapeutic targets for the relapse of BCMA CAR-T therapy in relapsed/refractory multiple myeloma through single-cell sequencing","40164_2023_402_MOESM3_ESM.csv","Unnamed_0",2066,230,2.39,8.58e-40,1.47e-35,"40164_2023_402_MOESM3_ESM.csv $ Unnamed_0",5
"54","CD8 TEM","PMC10165782","Identification of potential resistance mechanisms and therapeutic targets for the relapse of BCMA CAR-T therapy in relapsed/refractory multiple myeloma through single-cell sequencing","40164_2023_402_MOESM3_ESM.csv","gene",2024,227,2.41,1.02e-39,1.69e-35,"40164_2023_402_MOESM3_ESM.csv $ gene",5
"55","CD8 TEM","PMC7924267","A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2","media-19.xlsx","up_2-feature",1204,167,2.98,1.06e-39,1.72e-35,"media-19 $ up_2-feature",2
"56","CD4 TCM","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S4-Unnamed_4",1841,245,2.33,4.24e-40,2.12e-35,"Data_Sheet_2 $ Table_S4-Unnamed_4",4
"57","CD8 TEM","PMC8771561","Single-cell RNA landscape of the osteoimmunology microenvironment in periodontitis","thnov12p1074s3.xlsx","Supplementary_Table_2_10-Supplementary_Table_2_10_All_marker_genes_of_cell_types_shown_in_fig_S7A",1647,200,2.61,1.99e-39,3.15e-35,"thnov12p1074s3 $ Supplementary_Table_2_10-Supplementary_Table_2_10_All_marker_genes_of_cell_types_shown_in_fig_S7A",3
"58","CD8 TEM","PMC9741629","Single-cell profiling of healthy human kidney reveals features of sex-based transcriptional programs and tissue-specific immunity","41467_2022_35297_MOESM16_ESM.xlsx","Supp_Fig_15j-Unnamed_0",1832,213,2.5,2.42e-39,3.75e-35,"41467_2022_35297_MOESM16_ESM $ Supp_Fig_15j-Unnamed_0",4
"59","CD16 Mono","PMC8233196","Functional and genomic adaptations of blood monocytes to pregravid obesity during pregnancy","mmc2.xlsx","Nonclassical_Mo-cluster_IV-Unnamed_0",2237,184,2.76,6.79e-41,4.41e-35,"mmc2 $ Nonclassical_Mo-cluster_IV-Unnamed_0",5
"60","CD4 TCM","PMC10565639","Single‐cell profiling of muscle‐infiltrating T cells in idiopathic inflammatory myopathies","EMMM-15-e17240-s009.xlsx","Data_Set_EV5-Data_Set_EV5_Differentially_expressed_genes_in_memory_T_cells_from_healthy_control_PBMC_treated_with_collagenase_versus_control",1743,236,2.37,9.78e-40,4.54e-35,"EMMM-15-e17240-s009 $ Data_Set_EV5-Data_Set_EV5_Differentially_expressed_genes_in_memory_T_cells_from_healthy_control_PBMC_treated_with_collagenase_versus_control",5
"61","CD8 TEM","PMC8397717","The PEMDAC phase 2 study of pembrolizumab and entinostat in patients with metastatic uveal melanoma","41467_2021_25332_MOESM6_ESM.xlsx","Fig_S6e-Unnamed_8",2327,246,2.27,4.16e-39,6.28e-35,"41467_2021_25332_MOESM6_ESM $ Fig_S6e-Unnamed_8",4
"62","CD8 TEM","PMC10011423","Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences","42003_2023_4623_MOESM5_ESM.xlsx","Fetal_CD8_Activated_T_Cells-Gene",891,140,3.38,4.96e-39,7.32e-35,"42003_2023_4623_MOESM5_ESM $ Fetal_CD8_Activated_T_Cells-Gene",3
"63","CD8 TEM","PMC5844691","The transcription factors Runx3 and ThPOK cross-regulate acquisition of cytotoxic function by human Th1 lymphocytes","elife-30496-supp1.xls","All_GeneLists-Unnamed_10",894,140,3.37,7.31e-39,1.05e-34,"elife-30496-supp1 $ All_GeneLists-Unnamed_10",2
"64","CD8 TEM","PMC9345398","Screening of cell‐virus, cell‐cell, gene‐gene crosstalk among animal kingdom at single cell resolution","CTM2-12-e886-s007.xlsx","Mongolian_horse-PBMC-Gene",2490,256,2.21,7.66e-39,1.08e-34,"CTM2-12-e886-s007 $ Mongolian_horse-PBMC-Gene",5
"65","CD8 TEM","PMC9307320","Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration","si_table_5_ddac043.xlsx","T-cell-ensembl_id",1432,183,2.75,8.73e-39,1.21e-34,"si_table_5_ddac043 $ T-cell-ensembl_id",5
"66","CD8 TEM","PMC9307320","Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration","si_table_6_ddac043.xlsx","T-cell-ensembl_id",1420,182,2.75,9.9e-39,1.34e-34,"si_table_6_ddac043 $ T-cell-ensembl_id",4
"67","CD8 TEM","PMC9203933","Single-nucleus chromatin accessibility profiling highlights regulatory mechanisms of coronary artery disease risk","NIHMS1794783-supplement-Supplementary_Data_1.xlsx","T_NK-Unnamed_4",920,142,3.32,1.04e-38,1.38e-34,"NIHMS1794783-supplement-Supplementary_Data_1 $ T_NK-Unnamed_4",3
"68","CD8 TEM","PMC8771561","Single-cell RNA landscape of the osteoimmunology microenvironment in periodontitis","thnov12p1074s3.xlsx","Supplementary_Table_2_9-Supplementary_Table_2_9_All_marker_genes_of_cell_types_shown_in_Fig_6D",863,137,3.41,1.15e-38,1.49e-34,"thnov12p1074s3 $ Supplementary_Table_2_9-Supplementary_Table_2_9_All_marker_genes_of_cell_types_shown_in_Fig_6D",5
"69","CD4 TCM","PMC10186977","Multi-omics blood atlas reveals unique features of immune and platelet responses to SARS-CoV-2 Omicron breakthrough infection","mmc8.xlsx","NKT_cell-gene",2188,271,2.17,3.97e-39,1.67e-34,"mmc8 $ NKT_cell-gene",6
"70","CD4 TCM","PMC5430950","Transcriptional landscape of epithelial and immune cell populations revealed through FACS-seq of healthy human skin","41598_2017_1468_MOESM3_ESM.xls","DC_vs_CD8_DE_Genes-Supplementary_Table_S2_Differentially_Expressed_Genes",2342,283,2.12,4.11e-39,1.67e-34,"41598_2017_1468_MOESM3_ESM $ DC_vs_CD8_DE_Genes-Supplementary_Table_S2_Differentially_Expressed_Genes",6
"71","CD14 Mono","PMC9288051","Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia","13046_2022_2428_MOESM4_ESM.xlsx","Super_enhancers_in_AML10-CLOSEST_GENE",1398,157,3.09,1.76e-39,3.82e-34,"13046_2022_2428_MOESM4_ESM $ Super_enhancers_in_AML10-CLOSEST_GENE",5
"72","CD4 TCM","PMC9763233","Single-cell RNA sequencing reveals intrahepatic and peripheral immune characteristics related to disease phases in HBV-infected patients","gutjnl-2021-325915supp004.xlsx","CD4_T-gene",1708,231,2.37,1.13e-38,4.3e-34,"gutjnl-2021-325915supp004 $ CD4_T-gene",6
"73","CD8 TEM","PMC9307320","Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration","si_table_5_ddac043.xlsx","T-cell-gene",1448,183,2.72,4.05e-38,5.12e-34,"si_table_5_ddac043 $ T-cell-gene",5
"74","CD8 TEM","PMC9888347","Th17.1 cell driven sarcoidosis-like inflammation after anti-BCMA CAR T cells in multiple myeloma","41375_2023_1824_MOESM3_ESM.xlsx","7-ENSEMBL_ID",1780,207,2.5,4.1e-38,5.12e-34,"41375_2023_1824_MOESM3_ESM $ 7-ENSEMBL_ID",4
"75","CD8 TEM","PMC9307320","Choroidal endothelial and macrophage gene expression in atrophic and neovascular macular degeneration","si_table_6_ddac043.xlsx","T-cell-gene",1435,182,2.73,4.2e-38,5.15e-34,"si_table_6_ddac043 $ T-cell-gene",4
"76","CD8 TEM","PMC9722937","Single-cell sequencing shows cellular heterogeneity of cutaneous lesions in lupus erythematosus","41467_2022_35209_MOESM15_ESM.xlsx","dermis-Unnamed_7",1357,176,2.79,4.92e-38,5.92e-34,"41467_2022_35209_MOESM15_ESM $ dermis-Unnamed_7",5
"77","CD4 TCM","PMC9174272","Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure","41467_2022_30893_MOESM8_ESM.xlsx","CD8_Naive-Gene_symbol",2155,267,2.17,1.75e-38,6.31e-34,"41467_2022_30893_MOESM8_ESM $ CD8_Naive-Gene_symbol",5
"78","CD8 TEM","PMC7924267","A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2","media-19.xlsx","down_6-feature",2196,235,2.3,6.09e-38,7.19e-34,"media-19 $ down_6-feature",4
"79","CD8 TEM","PMC9153155","Ileum tissue single-cell mRNA sequencing elucidates the cellular architecture of pathophysiological changes associated with weaning in piglets","12915_2022_1321_MOESM10_ESM.xlsx","Sheet1-Unnamed_2",1548,190,2.64,6.54e-38,7.59e-34,"12915_2022_1321_MOESM10_ESM $ Sheet1-Unnamed_2",3
"80","CD4 TCM","PMC9562361","Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease","41467_2022_33780_MOESM3_ESM.xlsx","Table_S35-Table_S35",1553,217,2.45,2.84e-38,9.71e-34,"41467_2022_33780_MOESM3_ESM $ Table_S35-Table_S35",6
"81","CD8 TEM","PMC9888347","Th17.1 cell driven sarcoidosis-like inflammation after anti-BCMA CAR T cells in multiple myeloma","41375_2023_1824_MOESM3_ESM.xlsx","7-gene",1792,207,2.48,1.12e-37,1.28e-33,"41375_2023_1824_MOESM3_ESM $ 7-gene",4
"82","CD8 TEM","PMC9001660","Single-cell characterization of leukemic and non-leukemic immune repertoires in CD8+ T-cell large granular lymphocytic leukemia","41467_2022_29173_MOESM5_ESM.xlsx","Fig_1c_cluster_DEGs-gene",1710,201,2.53,1.46e-37,1.64e-33,"41467_2022_29173_MOESM5_ESM $ Fig_1c_cluster_DEGs-gene",6
"83","CD8 TEM","PMC10025454","The molecular consequences of androgen activity in the human breast","mmc7.xlsx","lymphoid-Supplementary_Table_S6_Genes_found_differentially_expressed_between_trans-male_and_cis-female_samples_for_each_cell_type_related_to_Figures_2-7",2059,225,2.35,1.62e-37,1.78e-33,"mmc7 $ lymphoid-Supplementary_Table_S6_Genes_found_differentially_expressed_between_trans-male_and_cis-female_samples_for_each_cell_type_related_to_Figures_2-7",4
"84","CD8 TEM","PMC9258069","Integrated analysis reveals the dysfunction of signaling pathways in uveal melanoma","12885_2022_9822_MOESM6_ESM.xls","cluster0-metastaticVSprimary-gene",1812,208,2.47,1.8e-37,1.94e-33,"12885_2022_9822_MOESM6_ESM $ cluster0-metastaticVSprimary-gene",4
"85","CD4 TCM","PMC7574992","The differential immune responses to COVID-19 in peripheral and lung revealed by single-cell RNA sequencing","41421_2020_225_MOESM2_ESM.xlsx","Supplementary_Table_S5-gene",2354,281,2.09,8.47e-38,2.75e-33,"41421_2020_225_MOESM2_ESM $ Supplementary_Table_S5-gene",5
