Cell,Feature,p value,adjusted p value
CD14 Mono,PIM3,1.37431E-30,4.12239E-28
CD14 Mono,LINC00390,5.54541E-30,1.64262E-27
CD14 Mono,LY86-AS1,7.62445E-30,2.23057E-27
CD14 Mono,LINC01814,9.10934E-30,2.63249E-27
CD14 Mono,CHD1,1.34016E-29,3.82624E-27
CD14 Mono,MIR26B,1.67665E-29,4.72995E-27
CD14 Mono,SLC2A12,2.29485E-29,6.39778E-27
CD14 Mono,NAB2,4.43101E-29,1.22095E-26
CD14 Mono,RHOT2,6.41074E-29,1.74615E-26
CD14 Mono,IRF1,2.21474E-28,5.96395E-26
CD14 Mono,RBPJ,3.17142E-28,8.44418E-26
CD14 Mono,EP300,4.33939E-28,1.14256E-25
CD14 Mono,RGCC,5.37096E-28,1.39863E-25
CD14 Mono,YARS,2.23136E-27,5.74746E-25
CD14 Mono,SPACA4,3.39808E-27,8.65853E-25
CD14 Mono,ARHGEF10L,5.44236E-27,1.372E-24
CD14 Mono,ZYX,5.77652E-27,1.44091E-24
CD14 Mono,SQLE,2.91929E-26,7.20609E-24
CD14 Mono,KLF4,3.13661E-26,7.6627E-24
CD14 Mono,PPP1R3E,4.12507E-26,9.97467E-24
CD14 Mono,CSRNP1,5.86917E-26,1.40487E-23
CD14 Mono,RBM33,8.1147E-26,1.92294E-23
CD14 Mono,APLP2,1.66751E-25,3.91237E-23
CD14 Mono,DENND2C,1.78992E-25,4.1584E-23
CD14 Mono,PRKG2,2.82468E-25,6.49869E-23
CD14 Mono,GPX4,3.48518E-25,7.94119E-23
CD14 Mono,ASRGL1,1.0018E-24,2.26092E-22
CD14 Mono,ECI1,3.46364E-24,7.74321E-22
CD14 Mono,PPARD,9.84739E-24,2.18087E-21
CD14 Mono,FGFRL1,1.073E-23,2.35434E-21
CD14 Mono,DTD2,2.17404E-23,4.72645E-21
CD14 Mono,PRF1,5.66535E-23,1.22047E-20
CD14 Mono,HOMER3-AS1,6.7442E-23,1.4398E-20
CD14 Mono,OSBPL11,8.58249E-23,1.81589E-20
CD14 Mono,NR1H2,1.38641E-22,2.9074E-20
CD14 Mono,CSNK1D,1.49465E-22,3.10691E-20
CD14 Mono,SLC35F2,1.58395E-22,3.26389E-20
CD14 Mono,CAPN5,1.9575E-22,3.99888E-20
CD14 Mono,AKR7A2,2.32562E-22,4.71027E-20
CD14 Mono,SH3BP2,7.2964E-22,1.46528E-19
CD14 Mono,SMARCA5,7.56067E-22,1.50559E-19
CD14 Mono,ENG,1.18715E-21,2.34432E-19
CD14 Mono,TECPR1,1.62496E-21,3.18237E-19
CD14 Mono,RAPGEF1,5.18145E-21,1.00643E-18
CD14 Mono,TXLNG,6.13785E-21,1.18251E-18
CD14 Mono,PIM1,8.22384E-21,1.57162E-18
CD14 Mono,ATP5MPL,8.90868E-21,1.68887E-18
CD14 Mono,CRTAM,1.32842E-20,2.49837E-18
CD14 Mono,VILL,1.48027E-20,2.76205E-18
CD14 Mono,PID1,2.23281E-20,4.13367E-18
CD14 Mono,LOC101928069,2.89811E-20,5.31542E-18
CD14 Mono,RHOG,2.916E-20,5.31542E-18
CD14 Mono,RGS12,3.37114E-20,6.09816E-18
CD14 Mono,CDYL,3.42933E-20,6.15642E-18
CD14 Mono,TSR3,3.70476E-20,6.60089E-18
CD14 Mono,NALT1,6.20428E-20,1.09719E-17
CD14 Mono,NOTCH3,6.51049E-20,1.14281E-17
CD14 Mono,PLLP,7.89174E-20,1.37508E-17
CD14 Mono,PARP6,8.06128E-20,1.39437E-17
CD14 Mono,C1orf100,1.12554E-19,1.93275E-17
CD14 Mono,STUB1,1.15748E-19,1.9733E-17
CD14 Mono,LINC00595,4.17864E-19,7.07294E-17
CD14 Mono,ARRDC4,5.01463E-19,8.42777E-17
CD14 Mono,ST3GAL1,5.30367E-19,8.85079E-17
CD14 Mono,SYS1-DBNDD2,6.76499E-19,1.12105E-16
CD14 Mono,LOC339803,8.65191E-19,1.42378E-16
CD14 Mono,MEF2A,1.00378E-18,1.64046E-16
CD14 Mono,NOXO1,1.20805E-18,1.96077E-16
CD14 Mono,LOC101929224,2.29767E-18,3.70394E-16
CD14 Mono,L3MBTL1,2.4905E-18,3.98766E-16
CD14 Mono,C17orf77,2.65305E-18,4.21942E-16
CD14 Mono,HILPDA,3.3192E-18,5.24368E-16
CD14 Mono,CRISPLD2,3.48312E-18,5.46619E-16
CD14 Mono,SLC1A3,3.84969E-18,6.00171E-16
CD14 Mono,IFT88,4.03859E-18,6.25506E-16
CD14 Mono,HAS1,9.32366E-18,1.43469E-15
CD14 Mono,CXorf40B,1.09812E-17,1.67884E-15
CD14 Mono,DAO,1.22304E-17,1.85785E-15
CD14 Mono,GPR146,1.24581E-17,1.88038E-15
CD14 Mono,HLA-DMA,2.9164E-17,4.37404E-15
CD14 Mono,ANXA5,3.1097E-17,4.63463E-15
CD14 Mono,HIVEP3,3.27854E-17,4.85572E-15
CD14 Mono,CTDSP2,3.63589E-17,5.35153E-15
CD14 Mono,NQO2,4.35999E-17,6.3777E-15
CD14 Mono,HEY2,4.65316E-17,6.72486E-15
CD14 Mono,PRDX4,4.65408E-17,6.72486E-15
CD14 Mono,LINC01226,5.29157E-17,7.59966E-15
CD14 Mono,MPZL1,7.33745E-17,1.04744E-14
CD14 Mono,LOC105371433,8.90282E-17,1.26329E-14
CD14 Mono,MIR6794,8.98599E-17,1.26751E-14
CD14 Mono,BTBD2,1.1264E-16,1.57943E-14
CD14 Mono,MIR4660,1.1597E-16,1.61656E-14
CD14 Mono,MORN1,1.64833E-16,2.28424E-14
CD14 Mono,EXTL3,1.92382E-16,2.6505E-14
CD14 Mono,CDH5,2.64366E-16,3.6212E-14
CD14 Mono,PAQR8,2.92988E-16,3.99019E-14
CD14 Mono,PPP1R18,3.46452E-16,4.69136E-14
CD14 Mono,CACUL1,3.63561E-16,4.89506E-14
CD14 Mono,STK40,4.7132E-16,6.31009E-14
CD14 Mono,BTBD19,6.39474E-16,8.51327E-14
CD14 Mono,ZNF778,1.20602E-15,1.5966E-13
CD14 Mono,PPIF,1.24712E-15,1.64183E-13
CD14 Mono,BRI3,1.35589E-15,1.77517E-13
CD14 Mono,CDC42EP2,1.64529E-15,2.14222E-13
CD14 Mono,LINC01010,1.71744E-15,2.22395E-13
CD14 Mono,ATXN2L,1.82533E-15,2.35081E-13
CD14 Mono,ZNF18,2.03426E-15,2.60572E-13
CD14 Mono,FAM184A,2.52988E-15,3.22315E-13
CD14 Mono,ARHGEF19,4.38278E-15,5.55394E-13
CD14 Mono,PRG2,4.70679E-15,5.93281E-13
CD14 Mono,UBP1,5.16648E-15,6.47779E-13
CD14 Mono,GMPPA,5.22463E-15,6.51621E-13
CD14 Mono,GPSM1,6.22328E-15,7.7211E-13
CD14 Mono,TMEM218,7.5455E-15,9.31279E-13
CD14 Mono,DNAJC13,9.54288E-15,1.1717E-12
CD14 Mono,TAGLN2,1.48162E-14,1.80979E-12
CD14 Mono,ALG9,2.27884E-14,2.76931E-12
CD14 Mono,ZSCAN10,2.40656E-14,2.90961E-12
CD14 Mono,FCHSD1,3.36362E-14,4.04607E-12
CD14 Mono,CHRNA5,3.49539E-14,4.18334E-12
CD14 Mono,MIR6088,4.56978E-14,5.44171E-12
CD14 Mono,STK10,4.71582E-14,5.58754E-12
CD14 Mono,NADSYN1,4.90735E-14,5.78554E-12
CD14 Mono,FLJ42969,5.00545E-14,5.87198E-12
CD14 Mono,BARD1,6.3971E-14,7.46759E-12
CD14 Mono,SPEF1,7.91113E-14,9.18971E-12
CD14 Mono,ICAM3,1.05218E-13,1.21627E-11
CD14 Mono,ZNF672,1.06971E-13,1.23053E-11
CD14 Mono,MEX3B,1.21724E-13,1.39348E-11
CD14 Mono,MIR1914,1.36569E-13,1.5559E-11
CD14 Mono,KIR2DL3,1.3962E-13,1.58305E-11
CD14 Mono,ELF2,1.7489E-13,1.9735E-11
CD14 Mono,PAXIP1-AS1,1.78334E-13,2.00283E-11
CD14 Mono,ANPEP,1.90126E-13,2.1252E-11
CD14 Mono,RAI1-AS1,2.17079E-13,2.41509E-11
CD14 Mono,NES,2.2377E-13,2.47789E-11
CD14 Mono,DOT1L,2.63451E-13,2.90373E-11
CD14 Mono,CREB5,2.80814E-13,3.08076E-11
CD14 Mono,CAMKK1,4.22894E-13,4.61812E-11
CD14 Mono,CDA,4.38309E-13,4.7645E-11
CD14 Mono,FAR1,5.81166E-13,6.28853E-11
CD14 Mono,HLA-DMB,6.02659E-13,6.49146E-11
CD14 Mono,SKI,8.72696E-13,9.35759E-11
CD14 Mono,PNMA8B,9.64439E-13,1.02947E-10
CD14 Mono,GINM1,1.8297E-12,1.94432E-10
CD14 Mono,ATG101,2.03329E-12,2.15102E-10
CD14 Mono,RHOD,2.22001E-12,2.33811E-10
CD14 Mono,E2F3,2.33345E-12,2.44672E-10
CD14 Mono,NSUN5,2.65643E-12,2.76861E-10
CD14 Mono,TRIB1,2.66381E-12,2.76861E-10
CD14 Mono,ABLIM2,2.82379E-12,2.92207E-10
CD14 Mono,FGFR1OP,3.73571E-12,3.84892E-10
CD14 Mono,N4BP1,4.2316E-12,4.34096E-10
CD14 Mono,ZXDC,5.22481E-12,5.33673E-10
CD14 Mono,CIZ1,5.75969E-12,5.85783E-10
CD14 Mono,KCNMB1,8.48453E-12,8.59222E-10
CD14 Mono,CTSL,8.79586E-12,8.86959E-10
CD14 Mono,LOC440028,9.9315E-12,9.97232E-10
CD14 Mono,AHCTF1,1.01437E-11,1.01424E-09
CD14 Mono,LINC00877,1.21068E-11,1.20544E-09
CD14 Mono,LINC01370,1.22817E-11,1.21773E-09
CD14 Mono,LINC01426,1.287E-11,1.27075E-09
CD14 Mono,XBP1,1.47059E-11,1.446E-09
CD14 Mono,LSM7,1.54679E-11,1.51464E-09
CD14 Mono,IRF2BP2,1.59839E-11,1.55873E-09
CD14 Mono,LOC101927131,1.62105E-11,1.57435E-09
CD14 Mono,MARCKSL1,1.79351E-11,1.73472E-09
CD14 Mono,NRDE2,1.89533E-11,1.82576E-09
CD14 Mono,MCF2L2,1.97472E-11,1.89454E-09
CD14 Mono,GRK5,2.05398E-11,1.96263E-09
CD14 Mono,PYCR3,2.259E-11,2.14986E-09
CD14 Mono,SAMHD1,2.62447E-11,2.48768E-09
CD14 Mono,CARD19,2.87453E-11,2.71385E-09
CD14 Mono,SPACA6P-AS,3.00355E-11,2.82441E-09
CD14 Mono,PLEKHA3,3.14325E-11,2.93484E-09
CD14 Mono,SRA1,3.14575E-11,2.93484E-09
CD14 Mono,SMPD2,3.88768E-11,3.61275E-09
CD14 Mono,BCAP31,3.90287E-11,3.61275E-09
CD14 Mono,OGFOD2,4.39291E-11,4.05054E-09
CD14 Mono,MIR4786,4.44641E-11,4.08397E-09
CD14 Mono,SLC16A5,4.48452E-11,4.10308E-09
CD14 Mono,CHAMP1,4.53837E-11,4.13637E-09
CD14 Mono,ABHD1,5.06194E-11,4.59589E-09
CD14 Mono,ITGAX,5.1734E-11,4.67916E-09
CD14 Mono,PER1,5.35038E-11,4.81217E-09
CD14 Mono,DCP1A,5.36107E-11,4.81217E-09
CD14 Mono,WBP4,5.9811E-11,5.34846E-09
CD14 Mono,TMPRSS13,6.54519E-11,5.83088E-09
CD14 Mono,GPR162,7.4103E-11,6.57685E-09
CD14 Mono,SLC9A8,7.81835E-11,6.91311E-09
CD14 Mono,CRTC1,8.03249E-11,7.07606E-09
CD14 Mono,THRAP3,9.05352E-11,7.94597E-09
CD14 Mono,C16orf72,9.93984E-11,8.69168E-09
CD14 Mono,PANO1,1.06146E-10,9.21368E-09
CD14 Mono,SPATA20,1.06146E-10,9.21368E-09
CD14 Mono,TRNP1,1.14548E-10,9.90672E-09
CD14 Mono,MIR6880,1.15038E-10,9.91293E-09
CD14 Mono,S100A10,1.27862E-10,1.09781E-08
CD14 Mono,GHITM,1.33462E-10,1.14175E-08
CD14 Mono,FAM71A,1.35755E-10,1.15719E-08
CD14 Mono,LSM12,1.6196E-10,1.37311E-08
CD14 Mono,SLCO4A1,1.62244E-10,1.37311E-08
CD14 Mono,FAM83C,1.67372E-10,1.41146E-08
CD14 Mono,LINC00469,1.79988E-10,1.51247E-08
CD14 Mono,HNRNPUL2-BSCL2,1.83321E-10,1.53504E-08
CD14 Mono,LYSMD4,2.18625E-10,1.82111E-08
CD14 Mono,TMEM72,2.19022E-10,1.82111E-08
CD14 Mono,LIN54,2.2158E-10,1.83593E-08
CD14 Mono,HPCAL1,2.38728E-10,1.97113E-08
CD14 Mono,MIR548AC,2.41277E-10,1.97572E-08
CD14 Mono,TSHR,2.41628E-10,1.97572E-08
CD14 Mono,RAB20,2.41785E-10,1.97572E-08
CD14 Mono,LENG1,2.47069E-10,2.01195E-08
CD14 Mono,RAB19,2.63476E-10,2.13821E-08
CD14 Mono,CCL1,2.88628E-10,2.33434E-08
CD14 Mono,VIM,3.01221E-10,2.42791E-08
CD14 Mono,TMC3-AS1,3.11293E-10,2.50058E-08
CD14 Mono,BLOC1S6,3.17738E-10,2.54373E-08
CD14 Mono,ARSA,3.19744E-10,2.55117E-08
CD14 Mono,KLF10,3.22371E-10,2.5635E-08
CD14 Mono,RNF7,3.23838E-10,2.56655E-08
CD14 Mono,LOC100129931,3.59742E-10,2.8416E-08
CD14 Mono,MIR4487,4.21859E-10,3.3212E-08
CD14 Mono,HIST2H2AB,4.29319E-10,3.36873E-08
CD14 Mono,CLEC16A,4.45119E-10,3.48118E-08
CD14 Mono,MIR1181,4.59962E-10,3.58543E-08
CD14 Mono,MANBA,4.68285E-10,3.63834E-08
CD14 Mono,KCNC4,4.77594E-10,3.69854E-08
CD14 Mono,GJD3,6.65114E-10,5.13394E-08
CD14 Mono,LINC00239,8.02477E-10,6.17412E-08
CD14 Mono,PLB1,8.32801E-10,6.38669E-08
CD14 Mono,RRM1,8.59697E-10,6.57169E-08
CD14 Mono,AKR1D1,8.88352E-10,6.7689E-08
CD14 Mono,KLF16,9.4834E-10,7.20283E-08
CD14 Mono,CD74,9.89124E-10,7.47147E-08
CD14 Mono,MDGA1,9.90016E-10,7.47147E-08
CD14 Mono,LAMB3,1.01647E-09,7.64674E-08
CD14 Mono,RANBP2,1.04356E-09,7.82571E-08
CD14 Mono,KCNK9,1.17536E-09,8.78628E-08
CD14 Mono,LOC101928618,1.31342E-09,9.78744E-08
CD14 Mono,LARP1B,1.34866E-09,1.00186E-07
CD14 Mono,RUSC1-AS1,1.47528E-09,1.09249E-07
CD14 Mono,MIR3159,1.49469E-09,1.10342E-07
CD14 Mono,THAP2,1.55882E-09,1.14718E-07
CD14 Mono,TNFRSF14,1.61054E-09,1.18158E-07
CD14 Mono,EIF2AK4,1.64344E-09,1.20199E-07
CD14 Mono,HTT-AS,1.73845E-09,1.26757E-07
CD14 Mono,OLIG2,1.79489E-09,1.30471E-07
CD14 Mono,CEP295NL,1.84177E-09,1.33469E-07
CD14 Mono,LILRB3,1.92356E-09,1.38972E-07
CD14 Mono,STPG4,2.30289E-09,1.65871E-07
CD14 Mono,NIPAL3,2.73353E-09,1.96292E-07
CD14 Mono,USP3,2.92429E-09,2.09356E-07
CD14 Mono,ANGPT4,3.02943E-09,2.1623E-07
CD14 Mono,SGMS2,3.05841E-09,2.17643E-07
CD14 Mono,NUMA1,3.2157E-09,2.27914E-07
CD14 Mono,MAP1LC3B,3.22198E-09,2.27914E-07
CD14 Mono,TELO2,3.73607E-09,2.63493E-07
CD14 Mono,MIR6809,3.80719E-09,2.67487E-07
CD14 Mono,HLCS,3.81527E-09,2.67487E-07
CD14 Mono,JMJD7,4.63106E-09,3.22771E-07
CD14 Mono,CDKN2D,4.63106E-09,3.22771E-07
CD14 Mono,FPR3,4.95788E-09,3.44536E-07
CD14 Mono,INAVA,5.02011E-09,3.47841E-07
CD14 Mono,C4orf48,6.25114E-09,4.31875E-07
CD14 Mono,MYH10,6.31569E-09,4.3436E-07
CD14 Mono,RALGAPA2,6.32376E-09,4.3436E-07
CD14 Mono,KLF13,6.85402E-09,4.69421E-07
CD14 Mono,CASTOR1,7.14338E-09,4.87829E-07
CD14 Mono,GPT2,7.26915E-09,4.94992E-07
CD14 Mono,ABHD11-AS1,7.44322E-09,5.05393E-07
CD14 Mono,ARPC5,7.78321E-09,5.26968E-07
CD14 Mono,LINC01588,7.85188E-09,5.30103E-07
CD14 Mono,SLC25A33,8.55376E-09,5.75848E-07
CD14 Mono,ETV6,8.5841E-09,5.76253E-07
CD14 Mono,TM4SF19,8.72905E-09,5.84329E-07
CD14 Mono,LIPC-AS1,9.7936E-09,6.53743E-07
CD14 Mono,STK24,9.98066E-09,6.64359E-07
CD14 Mono,TRIM11,1.05761E-08,7.02021E-07
CD14 Mono,UTP6,1.07954E-08,7.14579E-07
CD14 Mono,LAMTOR4,1.13665E-08,7.50285E-07
CD14 Mono,CTRC,1.15E-08,7.56991E-07
CD14 Mono,CD44,1.17046E-08,7.68323E-07
CD14 Mono,LILRA6,1.19372E-08,7.81425E-07
CD14 Mono,CHRAC1,1.26967E-08,8.28853E-07
CD14 Mono,CTNNA1,1.30461E-08,8.49322E-07
CD14 Mono,TDRP,1.4065E-08,9.13145E-07
CD14 Mono,TTC16,1.44266E-08,9.34061E-07
CD14 Mono,FRMD8,1.45869E-08,9.41865E-07
CD14 Mono,MCM6,1.52048E-08,9.79096E-07
CD14 Mono,KCNN4,1.58349E-08,1.01691E-06
CD14 Mono,ARL6IP6,1.67118E-08,1.07032E-06
CD14 Mono,IRS2,1.74728E-08,1.11604E-06
CD14 Mono,ERVFRD-1,1.78838E-08,1.13922E-06
CD14 Mono,LDLRAD2,1.8741E-08,1.19063E-06
CD14 Mono,PANK3,1.9056E-08,1.20741E-06
CD14 Mono,SLC9A1,1.9636E-08,1.24084E-06
CD14 Mono,SEMA7A,1.9953E-08,1.25752E-06
CD14 Mono,BACH1,2.05471E-08,1.28859E-06
CD14 Mono,PSMC3IP,2.06092E-08,1.28859E-06
CD14 Mono,PALM,2.06092E-08,1.28859E-06
CD14 Mono,DDB1,2.17809E-08,1.35827E-06
CD14 Mono,CTNNBL1,2.25992E-08,1.4056E-06
CD14 Mono,HSD3B7,2.29885E-08,1.42607E-06
CD14 Mono,IKBKE,2.32965E-08,1.4414E-06
CD14 Mono,FAM185A,2.38648E-08,1.47272E-06
CD14 Mono,TMEM235,2.59481E-08,1.59712E-06
CD14 Mono,PIK3R5,2.73242E-08,1.67747E-06
CD14 Mono,LOXL4,3.02928E-08,1.85491E-06
CD14 Mono,NRM,3.11078E-08,1.8999E-06
CD14 Mono,C16orf78,3.68108E-08,2.24243E-06
CD14 Mono,MIR5191,3.77237E-08,2.29215E-06
CD14 Mono,ZNF20,3.98689E-08,2.4163E-06
CD14 Mono,PURB,4.14357E-08,2.50485E-06
CD14 Mono,C10orf71,4.33449E-08,2.6136E-06
CD14 Mono,NLRP3,4.45149E-08,2.67138E-06
CD14 Mono,ST3GAL6,4.45286E-08,2.67138E-06
CD14 Mono,TMEM170B,4.51918E-08,2.70432E-06
CD14 Mono,CCDC80,4.53217E-08,2.70526E-06
CD14 Mono,HIPK3,4.58146E-08,2.72781E-06
CD14 Mono,CSTB,4.70057E-08,2.79171E-06
CD14 Mono,MYADM,4.72868E-08,2.80139E-06
CD14 Mono,SMG9,4.84322E-08,2.86209E-06
CD14 Mono,RFX8,5.13925E-08,3.02477E-06
CD14 Mono,EIF1B-AS1,5.14404E-08,3.02477E-06
CD14 Mono,DCAF11,5.25877E-08,3.08458E-06
CD14 Mono,RAB10,5.30021E-08,3.10121E-06
CD14 Mono,LINC00563,5.34364E-08,3.11892E-06
CD14 Mono,DUSP5,5.54567E-08,3.22889E-06
CD14 Mono,SLC10A1,5.72482E-08,3.32503E-06
CD14 Mono,LHFPL3-AS2,6.01399E-08,3.48444E-06
CD14 Mono,ESRP2,6.12442E-08,3.53976E-06
CD14 Mono,PRKAG2-AS1,6.4037E-08,3.69218E-06
CD14 Mono,COX4I2,6.46689E-08,3.71956E-06
CD14 Mono,TBC1D3B,6.56517E-08,3.76695E-06
CD14 Mono,CSRP1,6.73403E-08,3.84988E-06
CD14 Mono,YWHAZ,6.74221E-08,3.84988E-06
CD14 Mono,IL20RA,6.9391E-08,3.95279E-06
CD14 Mono,SMIM3,7.24522E-08,4.11727E-06
CD14 Mono,CLN8,7.46919E-08,4.23439E-06
CD14 Mono,TMEM127,7.61572E-08,4.30715E-06
CD14 Mono,PYGB,7.64027E-08,4.31075E-06
CD14 Mono,RNF31,7.70548E-08,4.33721E-06
CD14 Mono,CPOX,7.76438E-08,4.36001E-06
CD14 Mono,MIR1324,8.05049E-08,4.50999E-06
CD14 Mono,TSSC4,8.65586E-08,4.8037E-06
CD14 Mono,ALDH3B2,8.65586E-08,4.8037E-06
CD14 Mono,TMEM259,8.65586E-08,4.8037E-06
CD14 Mono,HNRNPUL1,8.65586E-08,4.8037E-06
CD14 Mono,C15orf54,8.72621E-08,4.83143E-06
CD14 Mono,RGS9BP,9.08038E-08,5.0158E-06
CD14 Mono,SMURF1,9.10814E-08,5.01943E-06
CD14 Mono,APOC4-APOC2,9.18789E-08,5.0433E-06
CD14 Mono,RANBP3,9.19402E-08,5.0433E-06
CD14 Mono,OLFML3,9.67757E-08,5.29629E-06
CD14 Mono,MIDN,1.02157E-07,5.57791E-06
CD14 Mono,EGR3,1.06124E-07,5.7812E-06
CD14 Mono,RTL9,1.0667E-07,5.79764E-06
CD14 Mono,SNAPC1,1.0693E-07,5.79846E-06
CD14 Mono,GNA13,1.11817E-07,6.04958E-06
CD14 Mono,CPEB2,1.14772E-07,6.19532E-06
CD14 Mono,TRMT2A,1.23388E-07,6.64528E-06
CD14 Mono,ELOA,1.25894E-07,6.76488E-06
CD14 Mono,PKM,1.27173E-07,6.81812E-06
CD14 Mono,NBPF1,1.32694E-07,7.0981E-06
CD14 Mono,KYAT3,1.36096E-07,7.26368E-06
CD14 Mono,TNFRSF1B,1.38469E-07,7.37371E-06
CD14 Mono,STARD8,1.39714E-07,7.42331E-06
CD14 Mono,P2RY2,1.49128E-07,7.90578E-06
CD14 Mono,ARL2BP,1.53445E-07,8.11646E-06
CD14 Mono,TP53RK,1.5976E-07,8.43169E-06
CD14 Mono,IL18BP,1.70103E-07,8.95761E-06
CD14 Mono,MPP7,1.76608E-07,9.27957E-06
CD14 Mono,CLDN20,1.82351E-07,9.56013E-06
CD14 Mono,DAZAP1,1.83417E-07,9.5948E-06
CD14 Mono,CAND1,1.86082E-07,9.71275E-06
CD14 Mono,HES6,1.88758E-07,9.83077E-06
CD14 Mono,NDST1,1.97845E-07,1.02814E-05
CD14 Mono,MDK,2.08931E-07,1.08338E-05
CD14 Mono,KRT80,2.15068E-07,1.11276E-05
CD14 Mono,FOXN3,2.37576E-07,1.22654E-05
CD14 Mono,SOGA1,2.38637E-07,1.22934E-05
CD14 Mono,CGRRF1,2.43148E-07,1.24987E-05
CD14 Mono,GCLC,2.4398E-07,1.25143E-05
CD14 Mono,MIR365B,2.47208E-07,1.26525E-05
CD14 Mono,OSM,2.69812E-07,1.37796E-05
