"Name","ID","Chr","Loc","Type"
"FHAD1","114827","1","1p36.21","protein-coding"
"EFHD2","79180","1","1p36.21","protein-coding"
"CTRC","11330","1","1p36.21","protein-coding"
"CELA2A","63036","1","1p36.21","protein-coding"
"CELA2B","51032","1","1p36.21","protein-coding"
"CASP9","842","1","1p36.21","protein-coding"
"DNAJC16","23341","1","1p36.21","protein-coding"
"AGMAT","79814","1","1p36.21","protein-coding"
"DDI2","84301","1","1p36.21","protein-coding"
"PLEKHM2","23207","1","1p36.21","protein-coding"
"SLC25A34","284723","1","1p36.21","protein-coding"
"TMEM82","388595","1","1p36.21","protein-coding"
"FBLIM1","54751","1","1p36.21","protein-coding"
"UQCRHL","440567","1","1p36.21","protein-coding"
"SPEN","23013","1","1p36.21-p36.13","protein-coding"
"SPEN-AS1","729614","1","1p36.21","ncRNA"
"ZBTB17","7709","1","1p36.13","protein-coding"
"SRARP","149563","1","1p36.13","protein-coding"
"CLCNKA","1187","1","1p36.13","protein-coding"
"HSPB7","27129","1","1p36.13","protein-coding"
"CLCNKB","1188","1","1p36.13","protein-coding"
"FAM131C","348487","1","1p36.13","protein-coding"
"EPHA2","1969","1","1p36.13","protein-coding"
"ARHGEF19","128272","1","1p36.13","protein-coding"
"CPLANE2","79363","1","1p36.13","protein-coding"
"FBXO42","54455","1","1p36.13","protein-coding"
"SZRD1","26099","1","1p36.13","protein-coding"
"SPATA21","374955","1","1p36.13","protein-coding"
"NECAP2","55707","1","1p36.13","protein-coding"
"NULL","100133301","NULL","NULL","NULL"
"NBPF1","55672","1","1p36.13","protein-coding"
"NULL","729574","NULL","NULL","NULL"
"NULL","729587","NULL","NULL","NULL"
"LOC105376805","105376805","1","1p36.13","ncRNA"
"MFAP2","4237","1","1p36.13","protein-coding"
"ATP13A2","23400","1","1p36.13","protein-coding"
"SDHB","6390","1","1p36.13","protein-coding"
"PADI2","11240","1","1p36.13","protein-coding"
"PADI1","29943","1","1p36.13","protein-coding"
"PADI3","51702","1","1p36.13","protein-coding"
"MIR3972","100616188","1","1p36.13","ncRNA"
"PADI4","23569","1","1p36.13","protein-coding"
"PADI6","353238","1","1p36.13","protein-coding"
"RCC2","55920","1","1p36.13","protein-coding"
"ARHGEF10L","55160","1","1p36.13","protein-coding"
"ACTL8","81569","1","1p36.13","protein-coding"
"LINC01654","101927876","1","1p36.13","ncRNA"
"IGSF21","84966","1","1p36.13","protein-coding"
"KLHDC7A","127707","1","1p36.13","protein-coding"
"PAX7","5081","1","1p36.13","protein-coding"
"TAS1R2","80834","1","1p36.13","protein-coding"
"MIR4695","100616120","1","1p36.13","ncRNA"
"MIR1290","100302276","1","1p36.13","ncRNA"
"ALDH4A1","8659","1","1p36.13","protein-coding"
"IFFO2","126917","1","1p36.13","protein-coding"
"UBR4","23352","1","1p36.13","protein-coding"
"EMC1-AS1","101927895","1","1p36.13","ncRNA"
"MRTO4","51154","1","1p36.13","protein-coding"
"EMC1","23065","1","1p36.13","protein-coding"
"AKR7A3","22977","1","1p36.13","protein-coding"
"AKR7A2","8574","1","1p36.13","protein-coding"
"SLC66A1","54896","1","1p36.13","protein-coding"
"CAPZB","832","1","1p36.13","protein-coding"
"MICOS10","440574","1","1p36.13","protein-coding"
"MICOS10-NBL1","100532736","1","1p36.13","protein-coding"
"NBL1","4681","1","1p36.13","protein-coding"
"HTR6","3362","1","1p36.13","protein-coding"
"TMCO4","255104","1","1p36.13","protein-coding"
"RNF186","54546","1","1p36.13","protein-coding"
"OTUD3","23252","1","1p36.13","protein-coding"
"PLA2G2E","30814","1","1p36.13","protein-coding"
"PLA2G2A","5320","1","1p36.13","protein-coding"
"PLA2G5","5322","1","1p36.13","protein-coding"
"PLA2G2D","26279","1","1p36.12","protein-coding"
"PLA2G2F","64600","1","1p36.12","protein-coding"
"PLA2G2C","391013","1","1p36.12","protein-coding"
"UBXN10","127733","1","1p36.12","protein-coding"
"NULL","101928017","NULL","NULL","NULL"
"VWA5B1","127731","1","1p36.12","protein-coding"
"LINC01141","339505","1","1p36.12","ncRNA"
"CAMK2N1","55450","1","1p36.12","protein-coding"
"MUL1","79594","1","1p36.12","protein-coding"
"FAM43B","163933","1","1p36.12","protein-coding"
"CDA","978","1","1p36.12","protein-coding"
"PINK1","65018","1","1p36.12","protein-coding"
"MIR6084","102464833","1","1p36.12","ncRNA"
"PINK1-AS","100861548","1","1p36.12","ncRNA"
"DDOST","1650","1","1p36.12","protein-coding"
"KIF17","57576","1","1p36.12","protein-coding"
"SH2D5","400745","1","1p36.12","protein-coding"
"HP1BP3","50809","1","1p36.12","protein-coding"
"MIR1256","100302155","1","1p36.12","ncRNA"
"EIF4G3","8672","1","1p36.12","protein-coding"
"ECE1-AS1","100506801","1","1p36.12","ncRNA"
"ECE1","1889","1","1p36.12","protein-coding"
"NBPF3","84224","1","1p36.12","protein-coding"
"ALPL","249","1","1p36.12","protein-coding"
"RAP1GAP","5909","1","1p36.12","protein-coding"
"USP48","84196","1","1p36.12","protein-coding"
"LDLRAD2","401944","1","1p36.12","protein-coding"
"HSPG2","3339","1","1p36.12","protein-coding"
"CELA3B","23436","1","1p36.12","protein-coding"
"CELA3A","10136","1","1p36.12","protein-coding"
"LINC00339","29092","1","1p36.12","ncRNA"
"LINC01635","101928043","1","1p36.12","ncRNA"
"CDC42","998","1","1p36.12","protein-coding"
"WNT4","54361","1","1p36.12","protein-coding"
"MIR4418","100616433","1","1p36.12","ncRNA"
"ZBTB40","9923","1","1p36.12","protein-coding"
"EPHA8","2046","1","1p36.12","protein-coding"
"MIR6127","102466615","1","1p36.12","ncRNA"
"C1QA","712","1","1p36.12","protein-coding"
"C1QC","714","1","1p36.12","protein-coding"
"C1QB","713","1","1p36.12","protein-coding"
"EPHB2","2048","1","1p36.12","protein-coding"
"MIR4684","100616391","1","1p36.12","ncRNA"
"MIR4253","100422914","1","1p36.12","ncRNA"
"LACTBL1","646262","1","1p36.12","protein-coding"
"TEX46","729059","1","1p36.12","protein-coding"
"KDM1A","23028","1","1p36.12","protein-coding"
"NULL","100616177","NULL","NULL","NULL"
"LUZP1","7798","1","1p36.12","protein-coding"
"HTR1D","3352","1","1p36.12","protein-coding"
"LINC01355","100996511","1","1p36.12","ncRNA"
"HNRNPR","10236","1","1p36.12","protein-coding"
"ZNF436-AS1","148898","1","1p36.12","ncRNA"
"ZNF436","80818","1","1p36.12","protein-coding"
"TCEA3","6920","1","1p36.12","protein-coding"
"ASAP3","55616","1","1p36.12","protein-coding"
"E2F2","1870","1","1p36.12","protein-coding"
"ID3","3399","1","1p36.12","protein-coding"
"MDS2","259283","1","1p36.11","ncRNA"
"RPL11","6135","1","1p36.11","protein-coding"
"ELOA","6924","1","1p36.11","protein-coding"
"ELOA-AS1","100506963","1","1p36.11","ncRNA"
"PITHD1","57095","1","1p36.11","protein-coding"
"LYPLA2","11313","1","1p36.11","protein-coding"
"GALE","2582","1","1p36.11","protein-coding"
"HMGCL","3155","1","1p36.11","protein-coding"
"FUCA1","2517","1","1p36.11","protein-coding"
"CNR2","1269","1","1p36.11","protein-coding"
"MIR378F","100616492","1","1p36.11","ncRNA"
"PNRC2","55629","1","1p36.11","protein-coding"
"SRSF10","10772","1","1p36.11","protein-coding"
"MYOM3","127294","1","1p36.11","protein-coding"
"IL22RA1","58985","1","1p36.11","protein-coding"
"IFNLR1","163702","1","1p36.11","protein-coding"
"LINC02800","284632","1","1p36.11","ncRNA"
"GRHL3","57822","1","1p36.11","protein-coding"
"NIPAL3","57185","1","1p36.11","protein-coding"
"STPG1","90529","1","1p36.11","protein-coding"
"RCAN3","11123","1","1p36.11","protein-coding"
"NCMAP-DT","100506985","1","1p36.11","ncRNA"
"NCMAP","400746","1","1p36.11","protein-coding"
"SRRM1","10250","1","1p36.11","protein-coding"
"CLIC4","25932","1","1p36.11","protein-coding"
"MIR6731","102465437","1","1p36.11","ncRNA"
"RUNX3","864","1","1p36.11","protein-coding"
"MIR4425","100616365","1","1p36.11","ncRNA"
"SYF2","25949","1","1p36.11","protein-coding"
"RSRP1","57035","1","1p36.11","protein-coding"
"RHD","6007","1","1p36.11","protein-coding"
"TMEM50A","23585","1","1p36.11","protein-coding"
"RHCE","6006","1","1p36.11","protein-coding"
"MACO1","55219","1","1p36.11","protein-coding"
"LDLRAP1","26119","1","1p36.11","protein-coding"
"MAN1C1","57134","1","1p36.11","protein-coding"
"SELENON","57190","1","1p36.11","protein-coding"
"MTFR1L","56181","1","1p36.11","protein-coding"
"LOC646471","646471","1","1p36.11","ncRNA"
"AUNIP","79000","1","1p36.11","protein-coding"
"PAQR7","164091","1","1p36.11","protein-coding"
"MIR3917","100500808","1","1p36.11","ncRNA"
"STMN1","3925","1","1p36.11","protein-coding"
"PAFAH2","5051","1","1p36.11","protein-coding"
"EXTL1","2134","1","1p36.11","protein-coding"
"SLC30A2","7780","1","1p36.11","protein-coding"
"TRIM63","84676","1","1p36.11","protein-coding"
"PDIK1L","149420","1","1p36.11","protein-coding"
"FAM110D","79927","1","1p36.11","protein-coding"
"ZNF593","51042","1","1p36.11","protein-coding"
"CNKSR1","10256","1","1p36.11","protein-coding"
"CATSPER4","378807","1","1p36.11","protein-coding"
"CEP85","64793","1","1p36.11","protein-coding"
"SH3BGRL3","83442","1","1p36.11","protein-coding"
"CD52","1043","1","1p36.11","protein-coding"
"UBXN11","91544","1","1p36.11","protein-coding"
"CRYBG2","55057","1","1p36.11","protein-coding"
"ZNF683","257101","1","1p36.11","protein-coding"
"LIN28A","79727","1","1p36.11","protein-coding"
"DHDDS","79947","1","1p36.11","protein-coding"
"DHDDS-AS1","101928324","1","1p36.11","ncRNA"
"HMGN2","3151","1","1p36.11","protein-coding"
"RPS6KA1","6195","1","1p36.11","protein-coding"
"MIR1976","100302190","1","1p36.11","ncRNA"
"ARID1A","8289","1","1p36.11","protein-coding"
"PIGV","55650","1","1p36.11","protein-coding"
"ZDHHC18","84243","1","1p36.11","protein-coding"
"SFN","2810","1","1p36.11","protein-coding"
"GPN2","54707","1","1p36.11","protein-coding"
"GPATCH3","63906","1","1p36.11","protein-coding"
"NR0B2","8431","1","1p36.11","protein-coding"
"KDF1","126695","1","1p36.11","protein-coding"
"TRNP1","388610","1","1p36.11","protein-coding"
"TENT5B","115572","1","1p36.11","protein-coding"
"SLC9A1","6548","1","1p36.11","protein-coding"
"WDTC1","23038","1","1p36.11","protein-coding"
"TMEM222","84065","1","1p36.11","protein-coding"
"ACTG1P20","644961","1","1p36.11","pseudo"
"SYTL1","84958","1","1p36.11","protein-coding"
"MAP3K6","9064","1","1p36.11","protein-coding"
"FCN3","8547","1","1p36.11","protein-coding"
"CD164L2","388611","1","1p36.11","protein-coding"
"GPR3","2827","1","1p36.11","protein-coding"
"WASF2","10163","1","1p36.11","protein-coding"
"AHDC1","27245","1","1p36.11-p35.3","protein-coding"
"FGR","2268","1","1p35.3","protein-coding"
"IFI6","2537","1","1p35.3","protein-coding"
"FAM76A","199870","1","1p35.3","protein-coding"
"STX12","23673","1","1p35.3","protein-coding"
"PPP1R8","5511","1","1p35.3","protein-coding"
"THEMIS2","9473","1","1p35.3","protein-coding"
"RPA2","6118","1","1p35.3","protein-coding"
"SMPDL3B","27293","1","1p35.3","protein-coding"
"XKR8","55113","1","1p35.3","protein-coding"
"EYA3","2140","1","1p35.3","protein-coding"
"PTAFR","5724","1","1p35.3","protein-coding"
"DNAJC8","22826","1","1p35.3","protein-coding"
"ATP5IF1","93974","1","1p35.3","protein-coding"
"SESN2","83667","1","1p35.3","protein-coding"
"MED18","54797","1","1p35.3","protein-coding"
"PHACTR4","65979","1","1p35.3","protein-coding"
"RCC1","1104","1","1p35.3","protein-coding"
"SNHG3","8420","1","1p35.3","ncRNA"
"SNORA73A","6080","1","1p35.3","snoRNA"
"SNORA73B","26768","1","1p35.3","snoRNA"
"TRNAU1AP","54952","1","1p35.3","protein-coding"
"SNORD99","692212","1","1p35.3","snoRNA"
"SNORA61","677838","1","1p35.3","snoRNA"
"SNORA44","677825","1","1p35.3","snoRNA"
"SNORA16A","692073","1","1p35.3","snoRNA"
"SNHG12","85028","1","1p35.3","ncRNA"
"RAB42","115273","1","1p35.3","protein-coding"
"TAF12","6883","1","1p35.3","protein-coding"
"RNU11","26824","1","1p35.3","snRNA"
"GMEB1","10691","1","1p35.3","protein-coding"
"YTHDF2","51441","1","1p35.3","protein-coding"
"OPRD1","4985","1","1p35.3","protein-coding"
"EPB41","2035","1","1p35.3","protein-coding"
"TMEM200B","399474","1","1p35.3","protein-coding"
"SRSF4","6429","1","1p35.3","protein-coding"
"MECR","51102","1","1p35.3","protein-coding"
"PTPRU","10076","1","1p35.3","protein-coding"
"LINC01756","101928460","1","1p35.3","ncRNA"
"LINC01648","101929406","1","1p35.2","ncRNA"
"MATN1-AS1","100129196","1","1p35.2","ncRNA"
"MATN1","4146","1","1p35.2","protein-coding"
"MIR4420","100616164","1","1p35.2","ncRNA"
"LAPTM5","7805","1","1p35.2","protein-coding"
"SDC3","9672","1","1p35.2","protein-coding"
"PUM1","9698","1","1p35.2","protein-coding"
"NKAIN1","79570","1","1p35.2","protein-coding"
"SNRNP40","9410","1","1p35.2","protein-coding"
"ZCCHC17","51538","1","1p35.2","protein-coding"
"FABP3","2170","1","1p35.2","protein-coding"
"SERINC2","347735","1","1p35.2","protein-coding"
"LINC01226","284551","1","1p35.2","ncRNA"
"TINAGL1","64129","1","1p35.2","protein-coding"
"HCRTR1","3061","1","1p35.2","protein-coding"
"PEF1","553115","1","1p35.2","protein-coding"
"COL16A1","1307","1","1p35.2","protein-coding"
"MIR4254","100423028","1","1p35.2","ncRNA"
"ADGRB2","576","1","1p35.2","protein-coding"
"SPOCD1","90853","1","1p35.2","protein-coding"
"PTP4A2","8073","1","1p35.2","protein-coding"
"KHDRBS1","10657","1","1p35.2","protein-coding"
"TMEM39B","55116","1","1p35.2","protein-coding"
"MIR5585","100847018","1","1p35.2","ncRNA"
"KPNA6","23633","1","1p35.2","protein-coding"
"TXLNA","200081","1","1p35.2","protein-coding"
"CCDC28B","79140","1","1p35.2","protein-coding"
"IQCC","55721","1","1p35.2","protein-coding"
"DCDC2B","149069","1","1p35.2","protein-coding"
"EIF3I","8668","1","1p35.2","protein-coding"
"TMEM234","56063","1","1p35.2","protein-coding"
"FAM167B","84734","1","1p35.2","protein-coding"
"LCK","3932","1","1p35.2","protein-coding"
"HDAC1","3065","1","1p35.2-p35.1","protein-coding"
"MARCKSL1","65108","1","1p35.1","protein-coding"
"TSSK3","81629","1","1p35.1","protein-coding"
"FAM229A","100128071","1","1p35.1","protein-coding"
"BSDC1","55108","1","1p35.1","protein-coding"
"ZBTB8A","653121","1","1p35.1","protein-coding"
"ZBTB8B","728116","1","1p35.1","protein-coding"
"ZBTB8OS","339487","1","1p35.1","protein-coding"
"RBBP4","5928","1","1p35.1","protein-coding"
"SYNC","81493","1","1p35.1","protein-coding"
"KIAA1522","57648","1","1p35.1","protein-coding"
"S100PBP","64766","1","1p35.1","protein-coding"
"YARS1","8565","1","1p35.1","protein-coding"
"FNDC5","252995","1","1p35.1","protein-coding"
"HPCA","3208","1","1p35.1","protein-coding"
"TMEM54","113452","1","1p35.1","protein-coding"
"RNF19B","127544","1","1p35.1","protein-coding"
"AK2","204","1","1p35.1","protein-coding"
"AZIN2","113451","1","1p35.1","protein-coding"
"TRIM62","55223","1","1p35.1","protein-coding"
"ZNF362","149076","1","1p35.1","protein-coding"
"A3GALT2","127550","1","1p35.1","protein-coding"
"MIR3605","100500853","1","1p35.1","ncRNA"
"PHC2-AS1","101929464","1","1p35.1","ncRNA"
"PHC2","1912","1","1p35.1","protein-coding"
"ZSCAN20","7579","1","1p35.1","protein-coding"
"HMGB4","127540","1","1p35.1","protein-coding"
"CSMD2-AS1","402779","1","1p35.1","ncRNA"
"CSMD2","114784","1","1p35.1","protein-coding"
"C1orf94","84970","1","1p35.1","protein-coding"
"MIR552","693137","1","1p34.3","ncRNA"
"GJB5","2709","1","1p34.3","protein-coding"
"GJB4","127534","1","1p34.3","protein-coding"
"GJB3","2707","1","1p34.3","protein-coding"
"GJA4","2701","1","1p34.3","protein-coding"
"SMIM12","113444","1","1p34.3","protein-coding"
"DLGAP3","58512","1","1p34.3","protein-coding"
"GPR199P","653160","1","1p34.3","ncRNA"
"ZMYM6","9204","1","1p34.3","protein-coding"
"ZMYM1","79830","1","1p34.3","protein-coding"
"SFPQ","6421","1","1p34.3","protein-coding"
"ZMYM4","9202","1","1p34.3","protein-coding"
"NCDN","23154","1","1p34.3","protein-coding"
"KIAA0319L","79932","1","1p34.3","protein-coding"
"TFAP2E","339488","1","1p34.3","protein-coding"
"PSMB2","5690","1","1p34.3","protein-coding"
"C1orf216","127703","1","1p34.3","protein-coding"
"CLSPN","63967","1","1p34.3","protein-coding"
"AGO4","192670","1","1p34.3","protein-coding"
